product_supplier_id,product_id,supplier_id,supplier_price,supply_date
01HR87CPZC0ESP7YHXA3ZC85PT,819,01HR539PPK053R75C64ZKV01S4,757.28,22/06/2016
01HR87CPZCSGX0R77B29JGE9GP,823,01HR539PR43HD7ZNTR53X62VQ3,859.47,31/10/2011
01HR87CPZDSVW13HAEBXMK52G0,198,01HR539PRGYV1EPYQB08R7AH6C,413.68,02/10/2010
01HR87CPZDP2TBYQXQ4HHFHB49,345,01HR539N8BXCSSKKBT6CGRTHX7,765.13,07/11/2018
01HR87CPZEGZ88189VT33WKWVM,497,01HR539PPS7B0JPPVV0QGK0MEQ,180.55,02/11/2011
01HR87CPZEWEN2N6PM4JB3MCG0,99,01HR539PPRCR4Q9CBYD034F9VH,119.93,13/08/2011
01HR87CPZFWZRAEV7BJT7P8WD7,892,01HR539PRHCNDVRD89J1Z23P1V,417.88,08/09/2013
01HR87CPZF453WH20G12KK131W,182,01HR539PQ1SDD0R0293R3X7DVE,837.64,21/10/2011
01HR87CPZGCGRMVY5MEV23HQ4P,456,01HR539PPFAXPHT8B5EQFRKDVC,13.84,23/12/2011
01HR87CPZHZS7QXP8J25MT8215,344,01HR539PQ0DQBXHXSH9X0GWE2R,763.29,12/09/2012
01HR87CPZJNN04T97M6RWP01CZ,398,01HR539PSQEWM5ZW1S1MQBK9YC,230.6,06/03/2022
01HR87CPZMVSVJKE3W8VXP3DAA,948,01HR539PRYN4E3SWD6622RNDX4,900.38,21/02/2021
01HR87CPZN9KSXGTXEB7RP05K0,346,01HR539PQE8QA5JQ0Z4Z08AQFW,542.96,25/03/2014
01HR87CPZPA2V4WHKNS60NPGCP,832,01HR539PPDRBCN9GRXXZ10WEMZ,302.01,29/12/2016
01HR87CPZQW94AWE1MDY16QK2X,48,01HR539PRWSNR0BYHE6JSD1YMW,826.81,27/09/2021
01HR87CPZRJF6E5FN34BWBGAEG,366,01HR539PQZZYE4BWD4FDA5DFZA,938.58,08/04/2018
01HR87CPZSM8XV3TV4MXDEF941,434,01HR539PRCE4GJHSDEJTRW0140,465.97,30/09/2011
01HR87CPZT264Q7WF2M4E8VWC9,398,01HR539PPATXT9777B2ZZ5HX1K,487.1,19/09/2023
01HR87CPZVY6WBPBADYNAW89V6,929,01HR539PPQ3GRNNDGK98SP5BWV,656.6,20/01/2011
01HR87CPZWXFSTEDNTBAY4X63P,690,01HR539PNP9E9B9BGK46Y39WRG,191.37,31/08/2012
01HR87CPZXFRDN0CEFD4982YPA,465,01HR539PQ0ZQA5V5FK7980V8X4,780.49,27/07/2018
01HR87CPZYN1FN6E1T48WGBYGZ,590,01HR539PJ5C8M922F7D23W3RDS,109.67,24/06/2023
01HR87CPZZ579MR2345A05H447,845,01HR539PQJGXW7HRV8MNJMHN06,150.94,21/02/2023
01HR87CQ00Z8GJVWEEVHV9WWP1,51,01HR539PPF90HVQTMB3WJ82S17,874.09,21/10/2013
01HR87CQ01Q8ECMGHTY45R9MT3,543,01HR539PR475GR1WBR3XYSAHMV,436.07,06/08/2019
01HR87CQ02ZS2FP07X8HKGEYFF,427,01HR539PQRWBJDXRP88ZX4ENMC,359.87,21/05/2017
01HR87CQ03ZNS72FCGRRPF05DW,381,01HR539PR6RQAQFT9GGX2JACGR,596.99,28/09/2016
01HR87CQ0497K5B5NBMTTRRA8W,222,01HR539PQ25G56RVZC4RT30514,489.06,23/10/2023
01HR87CQ06DZADP6YZ1JM1FYNQ,829,01HR539PP0EP95WDKXMBZ11QNS,93.91,25/12/2016
01HR87CP4JAVX4E7ZVQPW208ZB,936,01HR539PRTGJ1TSQXQ3WE62B4R,329.64,13/05/2021
01HR87CPV3TV08183PN6ZMSVQY,928,01HR539PPZA4XVG6W67GWGZ599,308.93,11/12/2019
01HR87CQ0K39KF7FJZF72FFP23,883,01HR539PPA7A5Z4R921C9SK9R3,548.3,18/06/2012
01HR87CQ0M7ZM9X20QDV2TYZ5P,455,01HR539PQ39SAW4HJ7FA8V2Y1W,648.17,21/12/2020
01HR87CQ0N57SQ4PKVF24ECGYC,484,01HR539PPGATX6ENAMC0GQ8JP6,694.61,11/05/2011
01HR87CQ0NAFWEY5WN3Q3J8YV2,3,01HR539PRTV65M9VWZ2116WHN5,697.16,05/10/2010
01HR87CQ0P900QW0E7G74SHVFY,585,01HR539PQT58871Y3CPB969V6M,528.56,12/06/2015
01HR87CQ0PNP4ZAS9HX1DP9NJ8,660,01HR539PRGBWBZA0FKA0VATP60,126.09,30/06/2017
01HR87CQ0Q5GTHC7RJ4ZBVM9SA,909,01HR539PQQRD664G28645EG5EV,743.98,10/05/2014
01HR87CQ0Q0ZE1DDD5DXH5MQ82,125,01HR539PS4PMMZJ6JMFN9G24VW,641.05,27/08/2015
01HR87CQ0RMKXVTJVC9BB33C60,680,01HR539PNVW2XMKPT1TGQTZA8V,666.21,13/05/2019
01HR87CQ0R63ME5FZ35NFB14W4,460,01HR539PPSQ1SDCAY9BPNFFG4F,758.08,03/09/2017
01HR87CQ0SEAAX3VKV545NEKR4,153,01HR539MZZF3SYJPTXJ2JZ5P4Y,631.83,05/03/2020
01HR87CQ0TGE83SFPFQVDDF20M,391,01HR539PPH5M28RMP7CFPFXP3M,854.29,15/09/2010
01HR87CQ0TNZM2AZVKVMFXPXN6,21,01HR539PNRRSXK0AR277X9JNKM,949.55,07/02/2015
01HR87CQ0VGQ8RDBN45TQ853T5,947,01HR539PQYWYEZ1Q3TWMY3917M,906.75,19/04/2014
01HR87CQ0V2P9T4YW8E5SF3D8T,458,01HR539PRVG60KV3TDCH4PR23A,378.81,31/03/2020
01HR87CQ0WFNG30QBBNWYBAPYD,869,01HR539PSARZS2M2AZR7A8EMF1,213.56,13/01/2015
01HR87CQ0X9G0JMT9EYJ927NZX,787,01HR539PQNPD1VJ1J3VWXD7YN6,129.92,22/05/2015
01HR87CQ0XPCVHRSTSEPC6CRGH,538,01HR539PNST62PJKG7A0JAQJQG,562.27,17/09/2011
01HR87CQ0YAJHPNCWN5XW6XP3M,708,01HR539PRFNH9C0XC1091EF0EB,763.37,29/10/2017
01HR87CQ0YEDG6M3C0T2856SD5,846,01HR539PQW4YQ2RE67XQ0YM0JX,313.04,06/12/2011
01HR87CQ0Z1NAA7A4KJNWVJ746,213,01HR539PPXBEGNX0J89X5JABD4,598.37,18/06/2010
01HR87CQ0ZA3Y2HEQN620YT5F1,930,01HR539PRW24TTDE16DKFF788K,71.04,06/10/2015
01HR87CQ10ZRJ2NJGNGNJMMRWS,624,01HR539PPPH04563WP2BAZWN53,717.61,15/12/2015
01HR87CQ12HG075M6ESKQ3HG7W,235,01HR539PQ7KCJSHGJXRJ7AHHC9,332.54,25/02/2020
01HR87CQ13J4CWSZNYEZMVZZ4B,837,01HR539PNXCX9H7PQEH9F58VNT,114.32,01/09/2013
01HR87CQ14EW81MEXXSX0GR936,780,01HR539PQB4PTKZN2MVA8GDMMR,455.85,18/10/2022
01HR87CQ15WBBVGTT03JHX43HE,174,01HR539PQKEW0JDS8EQ1XDJ3CP,230.44,25/08/2022
01HR87CQ1773YQPZHD8BB2P7FB,551,01HR539PNX6K789M2N75X273SN,494.13,20/03/2010
01HR87CQ188S67QVFE09085QGF,304,01HR539PQK99SHQQW96395E917,794.34,15/04/2014
01HR87CP4XM6FSJ738RGP725W5,498,01HR539PQDMJQE75YPRAM6872R,741.64,26/07/2014
01HR87CPTRY399CHWVANSWGPVR,109,01HR539PP40WQZTHGGBQDVC07N,419.96,17/03/2013
01HR87CQ08XKR6YT9DE20A3S2A,415,01HR539PQF746QVB1X0DAAS1C0,803.95,02/12/2020
01HR87CQ094FPA6Q942QY9V4B8,391,01HR539PRWGWCS4SAHRJX6GKWG,896.89,01/07/2021
01HR87CQ0952GW7MP20G0HWR94,428,01HR539PQ53KE7EPWCR4RW8RS2,369.09,24/06/2016
01HR87CQ0A6YZ6JA5JQ579KJTJ,754,01HR539PPACJ2X9D1PD5QEQZP1,607.36,25/03/2023
01HR87CQ0AFPTD5M0NS2MP4KMA,662,01HR539PRE943ZZZSZHB07F172,78.85,23/05/2013
01HR87CQ0BAFMYF0VWVXP4KVMX,298,01HR539PP51R9XFF4KT9EZQKQ6,719.59,16/02/2022
01HR87CQ0B8E5XVMWD6WT9A8RC,87,01HR539PQX21751B7786AC3S2J,463.49,10/06/2023
01HR87CQ0CHBHF8DRA93W6V8FW,81,01HR539PS5AQN5RSPAQC1QYTB2,456.49,03/10/2021
01HR87CQ0CZYY2KR146B5M3AEZ,335,01HR539PQB0HEP2DPT76K7X7XE,565.99,03/04/2012
01HR87CQ0DR4C1D0X731H6QWC5,886,01HR539PQTE50P43TGYFK4C2YA,212.53,05/02/2022
01HR87CQ0D02HKJDQ891YTSB2P,654,01HR539PRTZYECAH1MKXYRJ0PW,24.59,14/02/2023
01HR87CQ0ED7GWQ4WAC9KA3RW8,547,01HR539PS5DZ3578Y3VNCV9HZE,431.16,03/09/2012
01HR87CQ0EA4J5KF59YTVDYV8N,1,01HR539PQCMW6S1MJHR9WCBXZM,254.72,15/06/2022
01HR87CQ0E9332JN548NSAD9B8,386,01HR539PPKMP3CN0SN10RFD37C,938.15,31/05/2017
01HR87CQ0FVYHTY0Y16E4818VG,909,01HR539PR6C3SGJPZ0D9A9SXGZ,66.29,30/03/2013
01HR87CQ0FD6A0EXSE26KSCNEB,134,01HR539PQDA5AWVH101BSDAPSM,431.66,10/01/2024
01HR87CQ0G7Z2MWW6A0A0KQ6DA,405,01HR539PP52NFGVGV4PE2H6ME9,462.32,14/01/2015
01HR87CQ0GP6KG2G37CFED7Y3P,166,01HR539PPPM0ZH8ES2FP2JJ6HD,423.34,15/02/2022
01HR87CQ0H0RBJ57VZEADNJYJD,395,01HR539PPXJAD4292QEJ4HSPT6,303.15,31/08/2021
01HR87CQ0HQ8NX3AKFCV7H93VT,289,01HR539PQVJEH5AXHR29X2NHTA,633.64,12/08/2023
01HR87CQ0JMCKRB7NR92WQP882,364,01HR539PR093RYSZWRP1GJYH6S,584.02,07/02/2021
01HR87CQ0JSJWPCF21B58ADNBN,817,01HR539PQCJZJX7PGWNS3ACTD0,472.45,14/04/2020
01HR87CQ0KSK3P8EARBPTGEMQM,197,01HR539PRCY6P0BX93PN1804MW,409.47,14/02/2019
01HR87CQ0KTRS2Z6RSTMHAZ53S,309,01HR539PQ674BYAWW9S4BCBEW6,529.05,28/03/2020
01HR87CQ0MDWBKDDMGNJZ96S0B,266,01HR539PQ7N41VJNJ3FKM3T7X3,197.78,02/07/2021
01HR87CQ0MAJ6WJY2NA2AD30RB,431,01HR539PS4RWB5X6HW9FQEFY9P,998.32,16/06/2017
01HR87CQ0NXXYS9KTFVYMCDTK5,258,01HR539PRYF839G3AGY22TPFDF,301.3,10/02/2021
01HR87CQ0NS1F6SFCR41FDKMW1,826,01HR539PQ9EHATPTKE85JJDCVV,83.66,21/11/2010
01HR87CQ330C7PTRGTA2XSHG3Z,143,01HR539PP3V0MQ0EWYTXPST2JW,990.08,18/06/2022
01HR87CP4SST105JS5F7ER3F95,813,01HR539N4573HGKJEKJENW74P3,766.94,05/09/2011
01HR87CPTEYAGX0A2M4ADFM39D,385,01HR539PS960TN2PR0NEG2CBKS,346.69,08/10/2015
01HR87CPZYC78ACZCBRMQHZTCQ,498,01HR539PQ7ND8JBY0756WGDT7A,271.61,11/09/2015
01HR87CPZYJ3S86FSJ04FFNVQ0,465,01HR539PR9MSKVYHR7P4WS210G,130.54,20/08/2015
01HR87CPZZ9ZA6CV7CFD33CV66,372,01HR539PQV7HJQHFZVCZK37Y10,178.04,15/08/2020
01HR87CPZZQF6D99P4RR71KB44,643,01HR539PR87QE8TKES568F6136,34.85,14/04/2014
01HR87CQ00MGNJ7VHBZMRKH2BH,59,01HR539PPKDCTDPKYJ7C3HZNHD,919.17,05/07/2013
01HR87CQ00GJM1WG8MQSEPF78E,607,01HR539PRGP9BS0HQGZQ0GF1DV,252.85,09/10/2021
01HR87CQ01HSW8PFDPVWSMW8F2,422,01HR539PQBPVKSVAX8FSPXMYHV,354.01,30/08/2011
01HR87CQ01M6FA05K8YM7Y30MM,38,01HR539N0XAKZ0ZH0WM9CFHX65,470.61,16/06/2021
01HR87CQ02ANZ7JKNXQP4BYA71,748,01HR539PQ674BYAWW9S4BCBEW6,366.5,17/11/2010
01HR87CQ022HXD8MP4NXYQBBGY,55,01HR539PPBG53ZPYJ180EDZXAF,183.44,03/03/2020
01HR87CQ03CC67HSSGATTM35G5,29,01HR539PQ1WQC021NZYS1PHKQ5,683.13,04/10/2014
01HR87CQ036Y3DVMHAKSHFNJQ3,621,01HR539PRXRFNRTXSEJYXZVWF0,574.6,17/02/2012
01HR87CQ03YG8SQVED5EHHN3T3,674,01HR539PQNAZY2JQ0VY33VHBJE,138.81,30/04/2012
01HR87CQ04EBE4S91B5ZHW0YF6,714,01HR539PQCM861BM73T3JDTW2B,498.06,18/04/2021
01HR87CQ04S1S9HP5571WZAC6Q,868,01HR539PRB1V4BEMRBHWAKENYQ,22.79,13/07/2011
01HR87CQ05VCST4JACWSWW8DBG,821,01HR539PRTGJ1TSQXQ3WE62B4R,738.91,09/02/2019
01HR87CQ0568QJBV6BR1W77PHY,592,01HR539PPVMZYJZMZS8YHV3JYK,131.42,18/05/2021
01HR87CQ062PG5XCX7GY6Y6W8R,395,01HR539PS5C1EAVCD1TC6P0TW7,480.62,28/07/2012
01HR87CQ063C8KHQRVP3BW2F62,87,01HR539PPMH7YQECXFE401VR6N,118.07,19/05/2020
01HR87CQ07W71EJAJSJZJ40MBD,264,01HR539PR8QSFN65G2Y0P566YQ,125.57,22/12/2013
01HR87CQ07Y0W5WY1RWHJVK49X,31,01HR539PR0PBMQN7KG3W311HWD,226.18,22/02/2023
01HR87CQ08J8RR6PG2YP5WTGDN,440,01HR539N463YD770DVAPVBTSWC,352.98,07/08/2011
01HR87CQ08R61QYPWG4B2TXZW9,135,01HR539PRNN20FT925F61GKGZR,340.81,01/05/2017
01HR87CQ09N7P6XV2FRSHB1MWQ,501,01HR539PRX33M9XW8H1CSRK18R,876.02,16/12/2020
01HR87CQ09MKQZ8E5D18583HCN,143,01HR539PSCJWW9G1PMVAVVNW1F,670.51,26/07/2016
01HR87CQ0ASPBN8JHTDTMAK2KR,172,01HR539PPH7WF9VK97WBG77KWY,480.69,27/06/2014
01HR87CQ0A560YSY8SWHYR4RVW,278,01HR539PRYN4E3SWD6622RNDX4,412.87,18/03/2012
01HR87CQ0AG3ZA5896SQQWJK9N,949,01HR539PP8M7D3CV45C8XX63Z6,127.55,19/07/2014
01HR87CQ0BMFCR059NNGTGJD9D,355,01HR539PPN48GH7K4EV80X4WCK,863.33,21/05/2022
01HR87CP5EDZF2FWDE1X2AWYWJ,599,01HR539PP61Q4F5JN36MQMS884,60.33,04/10/2016
01HR87CPV618T9PVM5TA0ZFQ47,463,01HR539PQMH1273GW17E6KSQ2X,608.86,29/07/2014
01HR87CQ0PYK5KAV253GM5Y862,428,01HR539PP61BC5PA6XC04M4ZVW,259.21,17/10/2014
01HR87CQ0RJGTPMJ46TD9EV8NS,376,01HR539PQ0WZ61JT3WD2AD4BS6,400.47,08/06/2020
01HR87CQ0S4RMVEY4R64YGF64P,628,01HR539PQ7HJMA9HEB3XYEFWNJ,506.08,07/07/2019
01HR87CQ0TVPBX8P4BNC2WGXHA,173,01HR539PPGVQ1JWBQJ1S8FW0V6,406.25,06/01/2021
01HR87CQ0V9ZJQJ4S47HNJE78A,343,01HR539PR0G9X09HP541NDSFJA,644.73,12/09/2013
01HR87CQ0WJKS4XSWHYJRWHZBP,70,01HR539PQX1NW00M1QSTSMTGR8,574.9,16/06/2013
01HR87CQ0X321ZD9JE1FNA4T3R,321,01HR539PQ7WAWE2NJYATCGHPJZ,866.14,28/01/2014
01HR87CQ0YXZFEYMBER6RHGHA5,222,01HR539PG3VCDJBWNVXHB9GHS3,616.31,04/11/2011
01HR87CQ0Z0WPMD17KR70Z3QYY,285,01HR539PPV36CZKFE5NS58MG11,809.68,23/11/2014
01HR87CQ10CZNXZK1TTBC9EHD4,546,01HR539PQVJEH5AXHR29X2NHTA,283.23,07/02/2012
01HR87CQ118EWW8F7EWYGN0Z0R,58,01HR539PR4CCA5N6T9705J6ZGF,761.06,03/06/2022
01HR87CQ13AFQ3TA0BYB2W0XTN,946,01HR539PRD85MVZXV4M5SHX190,44.33,21/01/2022
01HR87CQ14P5M8DM0XVZXRN9DG,28,01HR539PPNWYJ1XB38FHW5Q815,557.13,01/03/2024
01HR87CQ15Y3XXGEZ8ED2XQ3M8,746,01HR539PRC999H3DBXEAZWPXEK,736.82,30/09/2023
01HR87CQ16QY9JWYF2SB6ZGE4W,840,01HR539PQXF972JZAY01NK5AGB,286.35,05/12/2019
01HR87CQ17KEPBAVW16MZ6VAY2,813,01HR539PQH3EWPYAY0JTX09SPD,442.7,09/08/2020
01HR87CQ186MFJFW7YPP5DMQKF,394,01HR539PP3V0MQ0EWYTXPST2JW,70.63,12/05/2016
01HR87CQ197BR1GEBACZF6NJRS,804,01HR539PPFAXPHT8B5EQFRKDVC,93.67,15/03/2014
01HR87CQ1AQJ70DAV35EGG21ZT,913,01HR539PPM79M67DD2N1VH30F5,83.31,26/06/2013
01HR87CQ1B97TW329BRMN8VBYD,136,01HR539PRWJ00N2BN3J3K8WKKF,11.96,21/04/2021
01HR87CQ1C2KX30ZGQN73F9SFB,166,01HR539PPXJAD4292QEJ4HSPT6,818.48,05/04/2011
01HR87CQ1E5VRVFG6TDE2B8JJN,555,01HR539PP26DEASNX54SDNJ5BH,512.84,06/02/2015
01HR87CQ1FK8HXY8T3RV2TZGKK,942,01HR539PRFRKQNA73K4C9885NG,329.06,13/01/2024
01HR87CQ1GKK3DN8ZW4VZKV3PR,530,01HR539PP844NJGNZPKD2A6GEK,962.0,26/04/2022
01HR87CQ1HXCERW22P2Z7J2DJW,890,01HR539PQ0751QSB1QSADD59EW,548.55,05/11/2018
01HR87CQ1J6Y4MMKPAN7AHHS5D,546,01HR539PQCZM0CDYPA519A27VC,784.17,01/08/2020
01HR87CQ1KXNQJ1QYFFPHX65BA,101,01HR539PPM3ETRST138GAJ8W6N,485.0,29/01/2019
01HR87CQ1MXM1G9XWEHFPZ6G86,905,01HR539PPEE5NTPDMXS4W5R6JT,968.37,27/02/2014
01HR87CQ1NSQNS43YE1ND4RA8N,390,01HR539PP5GT1RJSD7C9P0V4BG,369.48,25/01/2024
01HR87CP5Q1QJR2VW1D8QJSSWR,303,01HR539PQ0751QSB1QSADD59EW,174.47,01/04/2017
01HR87CPVPJKBAMW6D57AGN7Y1,793,01HR539PQ9GEFKEGRYGV2C0ABK,690.24,26/08/2019
01HR87CQ17BVJKDNZR82NCDPTX,469,01HR539PRG0HQFXDPV0KZHWMGA,811.47,20/05/2013
01HR87CQ18EH3PF8AKQ8Z9TK83,682,01HR539PRY7QQ183WBEXXJBTM0,435.97,05/05/2012
01HR87CQ19FB5BBMY728710ETF,598,01HR539PQEX0SC7TY3BFEM2V29,632.14,26/02/2015
01HR87CQ1AKDYB19QD138R80C2,785,01HR539PSAW12F6F5XQQZRJN1H,83.54,31/12/2018
01HR87CQ1B4KHPM8VV3BY3A4B9,481,01HR539PQJY6S60ZSWD79HVP4J,205.03,14/05/2013
01HR87CQ1C6844Z8DPQVMFAYP8,122,01HR539PNSNZP3FP9ZGKW4FQZD,659.63,02/11/2017
01HR87CQ1D9V8YE9FQAVRS4WBH,342,01HR539PQDM0JBNEASH6K4XZ6X,980.92,07/06/2017
01HR87CQ1ENHRRK99HS706Z6RV,834,01HR539PNVVDGR7D9KFJPC9801,36.21,05/05/2012
01HR87CQ1FX4ZG04TF09WXR302,512,01HR539PPGHAGHQPQ038NZBWBY,78.09,16/11/2017
01HR87CQ1GGTZCVH2SMJ7XFB6S,843,01HR539PRS9DVTYMD3DMYFK72C,562.61,25/04/2016
01HR87CQ1HETAXMJEZZ87RP8GA,535,01HR539PQJEXVTDKXRDXJSCT42,197.95,22/03/2015
01HR87CQ1J0X3BG16Y1NXHBSPE,704,01HR539PQMDM4BB6YF9E3KJK22,2.05,11/07/2010
01HR87CQ1K5N0MTZKWPJ75S0BF,648,01HR539PRTV65M9VWZ2116WHN5,862.08,29/08/2022
01HR87CQ1M34C6P13MK9YBBFWH,818,01HR539PQ661525DX80CF7K6SE,420.83,12/01/2018
01HR87CQ1N956G3PPAF9D80T9B,940,01HR539PPZA4XVG6W67GWGZ599,639.68,04/07/2010
01HR87CQ1QHRVFZ8Z9MVGGCM6C,918,01HR539PS00H67Q10KM0FE2ZZ2,450.13,06/04/2016
01HR87CQ1RTBZYZ0FB6YMV5E5Q,258,01HR539PR73SXWW071MYTP6P3J,74.37,05/03/2014
01HR87CQ1S1TBE0MDFVDQB9APS,772,01HR539PQ6G8BQ0PA45DWQJCVC,292.84,09/04/2020
01HR87CQ1VKCM0QRXCBAFGY2GY,275,01HR539PQW4YQ2RE67XQ0YM0JX,926.09,19/04/2012
01HR87CQ1XY97GEK0S42H4MYVA,85,01HR539PR4CCA5N6T9705J6ZGF,252.51,01/09/2023
01HR87CQ1ZKWK8F764Q0BQDRRK,614,01HR539PS3KNZWWK7645S3H30F,609.29,01/10/2012
01HR87CQ20CVXMCNGTMFXZMH8P,864,01HR539PQCZM0CDYPA519A27VC,980.26,02/03/2019
01HR87CQ22SZW0TGV67GGAR7AN,946,01HR539PQJAWRJV97K6GMKPCHX,552.07,04/03/2010
01HR87CQ24XSCG1XFMDKE6TAJA,20,01HR539N4573HGKJEKJENW74P3,548.83,05/11/2020
01HR87CQ26W1VNRY236FCDYCKM,887,01HR539PS3JQ3N2JGYSARRXANZ,354.6,19/02/2021
01HR87CQ27JK0WPDGSN78YDPY7,899,01HR539PQRWBJDXRP88ZX4ENMC,988.28,30/06/2020
01HR87CQ29F3YKBY25XYF4CVTS,743,01HR539PQG9B0Y3CNCFK5M9FD9,363.24,04/08/2011
01HR87CQ2B9G2661MKAVZHGMN7,722,01HR539PRBGRPPCSBBZDZN0S1C,51.01,30/05/2015
01HR87CQ2C8NBANSSF8KZ765XD,110,01HR539PRWBY8SZ0EF87F9F8C9,981.06,07/12/2014
01HR87CP5HXKNV2D0Q6A1HH0ZB,225,01HR539PQDE4Q9RMKCMWZ2P9KJ,285.42,17/10/2013
01HR87CPVN4W3XDXEQ5FM5QH7N,314,01HR539PP8SE0R2B26CSWV7VF4,946.78,03/12/2010
01HR87CQ15JZAPD7WDDYTX629P,741,01HR539PQPQPJ2J88N8CDACVF7,748.3,16/09/2013
01HR87CQ169554PE06CZF7FNZT,135,01HR539N4Y2078H2MMR77A6WRN,830.63,19/09/2018
01HR87CQ173K16K8K2M12V473X,589,01HR539PPH6PQZC4HYM9YFWNVG,203.95,05/04/2019
01HR87CQ17TJS8HJ6GVDXA8B4Z,206,01HR539N463YD770DVAPVBTSWC,979.87,03/03/2011
01HR87CQ18FG6YQECD3P9774EC,899,01HR539PNWQ00XNYFP5H222EP5,353.11,18/01/2011
01HR87CQ195XGT97KEKG475XVF,378,01HR539PRM67WMR64HRTRG5H1B,678.65,07/07/2011
01HR87CQ1AZBPHZXWFNKRW389Q,841,01HR539PQS1W34TE3XSHQFBTD8,521.23,26/04/2023
01HR87CQ1BHYW7QTV84W07MWZ0,331,01HR539PNY9D321ETWKZWVCT27,687.1,26/01/2015
01HR87CQ1C3BEJGV08C8X92JQF,93,01HR539PQ3CW5C0EVCAWYQMR48,973.54,03/07/2010
01HR87CQ1DNZ5Q694NQNVSPD1X,600,01HR539PS17KQM4X8H62DY9T17,130.35,15/07/2019
01HR87CQ1EJ5S0299S2NDHTZKY,792,01HR539PPM8HZB64MWR51D3JJN,645.84,04/07/2023
