supplier_id,supplier_name,supplier_country,supplier_email,supplier_phone,supplier_unit,supplier_floor,supplier_block,supplier_street,supplier_city,supplier_zip_code
01HRVVYCKF11A7FQF19J31VPYG,Babbleopia,United Kingdom,babbleopia@soundcloud.com,+44 (246) 648-9811,51,12,18,Kenwood,Middleton,LE16
01HRVVYCKGQ1DZ0ZHCV9PJS0SX,Edgetag,United Kingdom,edgetag@sbwire.com,+44 (605) 596-5240,90,13,19,Bartillon,Dean,OX7
01HRVVYCKJQQRYPX1QN0968F76,Thoughtsphere,United Kingdom,thoughtsphere@godaddy.com,+44 (264) 647-1149,9,5,8,Lunder,Seaton,LE15
01HRVVYCKM3K1EWSCJ6XG5F9G4,Gigaclub,United Kingdom,gigaclub@microsoft.com,+44 (492) 285-0333,24,14,34,Schurz,Seaton,LE15
01HRVVYCKNGFQGPF5K5861G7V9,Dabvine,United Kingdom,dabvine@nationalgeographic.com,+44 (493) 735-9459,16,7,15,Elka,Eaton,DN22
01HRVVYCKQK592CGT58AE021N6,Wordify,United Kingdom,wordify@uol.com.br,+44 (846) 659-4116,39,6,21,Texas,Walton,CV35
01HRVVYCKRFJQR7T96F307JGBW,Brightdog,United Kingdom,brightdog@cmu.edu,+44 (914) 736-9478,25,10,29,Maywood,Dean,OX7
01HRVVYCKTDR8YGSJZ7C18W2W9,Buzzdog,United Kingdom,buzzdog@dell.com,+44 (823) 252-8375,40,14,55,Dottie,Twyford,LE14
01HRVVYCKVH1C57ZJJVPVP8B2B,Skippad,United Kingdom,skippad@google.co.uk,+44 (886) 654-3939,95,11,1,Crest Line,Sutton,CT15
01HRVVYCKXA5MJ3D3YDCK6MKMV,Gabvine,United Kingdom,gabvine@stumbleupon.com,+44 (183) 155-0895,54,7,52,Mariners Cove,Marston,ST20
01HRVVYCKYZ4Y1WFKKRT3MW6HZ,Yakijo,United Kingdom,yakijo@disqus.com,+44 (601) 831-8441,100,9,45,Merchant,London,W1F
01HRVVYCM0XSRT2SA5XJG6M8XC,Tagopia,United Kingdom,tagopia@utexas.edu,+44 (204) 246-0762,60,13,32,Starling,Horton,BS37
01HRVVYCM1YF84W81W9HS9FXJ6,Skaboo,United Kingdom,skaboo@ifeng.com,+44 (977) 844-4568,87,12,6,Muir,Kinloch,PH43
01HRVVYCM31S36XWW183BVGQDB,Thoughtsphere,United Kingdom,thoughtsphere@admin.ch,+44 (398) 638-6885,17,7,8,Towne,Stapleford,LN6
01HRVVYCM5JBSFSREE4GSEWVWK,Dynabox,United Kingdom,dynabox@house.gov,+44 (286) 533-2094,45,11,3,Swallow,West End,DN36
01HRVVYCM7E2SDKWH146ET6EQ1,Fivechat,United Kingdom,fivechat@reuters.com,+44 (696) 346-5292,40,9,43,Grim,Ford,GL54
01HRVVYCM8Q1XTRG2B884XPC2B,Meemm,United Kingdom,meemm@google.co.uk,+44 (754) 653-5489,44,6,29,Maryland,Langley,SG4
01HRVVYCM9YA6Q2B8PPF8YC8HW,Yozio,United Kingdom,yozio@gov.uk,+44 (633) 465-8998,71,5,17,Elgar,Wootton,NN4
01HRVVYCMA2SCE48MNAZ3176TY,Meevee,United Kingdom,meevee@about.me,+44 (650) 885-6455,49,15,44,Brickson Park,Birmingham,B40
01HRVVYCMB9KM8AXPYBDVGK8YV,Quatz,United Kingdom,quatz@sakura.ne.jp,+44 (233) 416-8146,43,10,4,Walton,Langley,SG4
01HRVVYCMCXJ4FX7F92YV1ZN34,Zooxo,United Kingdom,zooxo@opensource.org,+44 (807) 624-2993,70,2,40,Mitchell,Swindon,SN1
01HRVVYCMDJQYRPA4TE0FZ5ZWS,Linkbuzz,United Kingdom,linkbuzz@youtube.com,+44 (803) 413-6887,46,11,11,Aberg,Preston,PR1
01HRVVYCMEJ0BJKSE40HZN2RZ2,Pixope,United Kingdom,pixope@ihg.com,+44 (881) 289-6649,23,15,54,Warbler,Aston,TF6
01HRVVYCMFNC4ZNWEEVQ1HKSJG,Pixonyx,United Kingdom,pixonyx@engadget.com,+44 (928) 807-6002,66,15,8,Artisan,Kinloch,PH43
01HRVVYCJ6WAHYT05S0X9V2DD8,Livetube,United Kingdom,livetube@yale.edu,+44 (420) 487-5660,39,13,25,Namekagon,Manchester,M14
01HRVVYCKSZFYVNMNFPGR4XGZ9,Twimm,United Kingdom,twimm@unicef.org,+44 (344) 409-2954,99,3,9,Moland,London,WC2H
01HRVVYCKV42DZJ4NW7HV77T8Z,Devpulse,United Kingdom,devpulse@icio.us,+44 (636) 331-8732,29,5,11,Chive,Pentre,SY4
01HRVVYCKX3QP54DZAAMS22Q2H,Agivu,United Kingdom,agivu@baidu.com,+44 (843) 207-7617,96,10,35,Caliangt,Tullich,AB55
01HRVVYCKYDVDJGZT4RH9AHC58,Jabberstorm,United Kingdom,jabberstorm@foxnews.com,+44 (884) 267-7597,2,8,10,Glacier Hill,Newtown,RG20
01HRVVYCM040HB5XETMERA4KJD,Latz,United Kingdom,latz@taobao.com,+44 (644) 492-3995,14,11,37,Meadow Valley,Ford,GL54
01HRVVYCM1M2APYP34W8VXV15C,Feednation,United Kingdom,feednation@myspace.com,+44 (193) 462-9555,19,5,42,Almo,Milton,NG22
01HRVVYCM3H3EK5MTVD0C6TYSG,Linkbridge,United Kingdom,linkbridge@moonfruit.com,+44 (443) 639-8008,35,15,27,Lakewood Gardens,Milton,NG22
01HRVVYCM5HMHH6H1TJB7QDVM4,Gigashots,United Kingdom,gigashots@dailymail.co.uk,+44 (901) 779-1151,17,3,38,Fieldstone,Aston,TF6
01HRVVYCM6VDYAD7FGH7QC09YX,Skipfire,United Kingdom,skipfire@go.com,+44 (435) 366-7965,21,1,6,Ryan,Belfast,BT2
01HRVVYCM8J3GKBBW6FPKP8WG2,InnoZ,United Kingdom,innoz@tamu.edu,+44 (285) 578-7995,48,14,3,Arizona,Buckland,CT16
01HRVVYCM90F00G21PER0RBEHD,Dynabox,United Kingdom,dynabox@godaddy.com,+44 (980) 531-8646,96,6,26,Washington,West End,DN36
01HRVVYCMB3CJHARG442BCDJM3,Buzzster,United Kingdom,buzzster@de.vu,+44 (792) 224-1046,89,14,1,Graedel,Middleton,LE16
01HRVVYCMCY5BA1R1PJNX539AC,Dabtype,United Kingdom,dabtype@sitemeter.com,+44 (487) 626-4635,37,13,3,Oak Valley,Newtown,RG20
01HRVVYCME7QC4KCWZA71C0EJ6,Edgeblab,United Kingdom,edgeblab@epa.gov,+44 (216) 253-3595,67,7,57,Eastlawn,Thorpe,BD23
01HRVVYCMGQTH5SSVBNCA8RAS3,Zoomlounge,United Kingdom,zoomlounge@1und1.de,+44 (897) 368-5011,53,15,6,Washington,Belfast,BT2
01HRVVYCMHCHNKYFEQ3RBZNS7D,Kaymbo,United Kingdom,kaymbo@amazonaws.com,+44 (416) 813-8025,53,7,22,2nd,Sheffield,S1
01HRVVYCMKT61MGT0FKRXSHHMF,Zoombox,United Kingdom,zoombox@studiopress.com,+44 (817) 682-1242,96,1,47,Londonderry,East End,BH21
01HRVVYCMMC6PTZZVKTHAR8HE0,Buzzshare,United Kingdom,buzzshare@artisteer.com,+44 (467) 466-5872,67,6,60,Florence,Upton,DN21
01HRVVYCMPTNYNBHXJZRX5M1E4,Gigabox,United Kingdom,gigabox@ask.com,+44 (674) 540-9498,66,14,2,Colorado,Sheffield,S33
01HRVVYCMQ41XKSCT90NKZ61RT,Zoomdog,United Kingdom,zoomdog@wsj.com,+44 (768) 334-5538,78,5,27,Macpherson,Church End,CB4
01HRVVYCMSWMJ49VY7H68WZ5EX,Brightdog,United Kingdom,brightdog@sciencedaily.com,+44 (220) 498-3955,96,5,21,International,Church End,CB4
01HRVVYCMT8YT6T77NHA9KMFGM,Aibox,United Kingdom,aibox@addtoany.com,+44 (199) 795-2782,50,4,53,Petterle,London,WC2H
01HRVVYCMVRV99ASF2M622G91P,Feedmix,United Kingdom,feedmix@prweb.com,+44 (319) 683-4297,13,14,5,Carioca,Leeds,LS6
01HRVVYCMW4K8QJ7M6AWQAP131,Browsetype,United Kingdom,browsetype@amazon.co.uk,+44 (957) 714-0987,28,7,54,Magdeline,Birmingham,B40
01HRVVYCMXGVNSJET45YK1KAVJ,Mynte,United Kingdom,mynte@squidoo.com,+44 (490) 546-9281,15,5,51,Kingsford,Brampton,NR34
01HRVVYCMYM08T71QQ4V8YT0BX,LiveZ,United Kingdom,livez@thetimes.co.uk,+44 (601) 280-4987,65,2,19,Barby,Birmingham,B40
01HRVVYCMZ8NKB34APM3DTGX6N,Yodo,United Kingdom,yodo@si.edu,+44 (941) 852-0044,99,9,19,Gulseth,London,WC2H
01HRVVYCN0RBSZ8J9558KX3FJ1,Wikizz,United Kingdom,wikizz@cisco.com,+44 (534) 809-0562,73,1,11,Harbort,West End,DN36
01HRVVYCN26XSDJ03N4YFB525M,Jabbertype,United Kingdom,jabbertype@jigsy.com,+44 (509) 832-1065,98,10,2,4th,Newport,NR29
01HRVVYCN3HNT1EFW4QPE19NBC,Ozu,United Kingdom,ozu@shop-pro.jp,+44 (328) 414-9429,8,4,39,Kim,London,WC1B
01HRVVYCJTVJY77RBF06HRAZQZ,Yakijo,United Kingdom,yakijo@google.ru,+44 (144) 434-7109,45,4,55,Evergreen,West End,DN36
01HRVVYCMBR47X4XMHNDPC82DT,Rhyzio,United Kingdom,rhyzio@usgs.gov,+44 (934) 402-0583,35,3,28,Sheridan,Weston,GU32
01HRVVYCMD9R27RGK48873GE5C,Jayo,United Kingdom,jayo@webnode.com,+44 (629) 405-7953,67,9,53,Longview,Tullich,AB55
01HRVVYCMFHP3ZMEH91KE72A5D,Jaxworks,United Kingdom,jaxworks@instagram.com,+44 (619) 552-1417,72,5,8,Manufacturers,Whitwell,DL10
01HRVVYCMHCZVHEGG26CMME7KY,Quaxo,United Kingdom,quaxo@newsvine.com,+44 (432) 213-0351,58,7,4,Huxley,Middleton,LE16
01HRVVYCMJYQXE4AKGT1JCZ5QP,Oozz,United Kingdom,oozz@examiner.com,+44 (397) 917-9630,4,12,60,Florence,Brampton,NR34
01HRVVYCMM2Y3FR1MF6PP8EQ5G,Edgeblab,United Kingdom,edgeblab@ebay.com,+44 (809) 435-0464,4,6,28,Old Shore,Merton,SW19
01HRVVYCMNHBN3V3J2F78VCJF0,Zoomzone,United Kingdom,zoomzone@blogtalkradio.com,+44 (564) 606-7805,52,5,41,Little Fleur,London,WC1B
01HRVVYCMQ71EHZ5DEMBKJ8HT4,Pixope,United Kingdom,pixope@sourceforge.net,+44 (697) 132-7912,50,1,60,Lerdahl,London,WC1B
01HRVVYCMSXH27H76M7ZEHS5YN,Kwinu,United Kingdom,kwinu@uiuc.edu,+44 (614) 386-0262,80,12,53,5th,East End,BH21
01HRVVYCMT5KF9941NXY631CH4,Voonyx,United Kingdom,voonyx@eepurl.com,+44 (911) 772-9305,23,4,33,Buena Vista,Swindon,SN1
01HRVVYCMWKHY6GRKYH769WWKR,Wikizz,United Kingdom,wikizz@theguardian.com,+44 (867) 231-1009,21,5,28,Shasta,Milton,NG22
01HRVVYCMXQ9AN1940Z581J0M5,Demivee,United Kingdom,demivee@printfriendly.com,+44 (947) 283-6080,87,13,31,Drewry,Weston,GU32
01HRVVYCMZ0WQKBY5R7AWX5RB2,Jabbersphere,United Kingdom,jabbersphere@mozilla.com,+44 (790) 739-0666,89,10,10,Kensington,Buckland,CT16
01HRVVYCN07VWMKJTYJQ56JN57,Skivee,United Kingdom,skivee@drupal.org,+44 (717) 457-6136,22,13,16,Westridge,Birmingham,B12
01HRVVYCN2C1JVXEYMYVMZ9RDZ,Linktype,United Kingdom,linktype@wiley.com,+44 (653) 233-2987,57,13,35,Huxley,Birmingham,B12
01HRVVYCN38D19NWAJ17KV0B17,Edgepulse,United Kingdom,edgepulse@aol.com,+44 (366) 563-6765,100,11,38,Ohio,Stapleford,LN6
01HRVVYCN5C7VW367Z1HY0DHM4,Thoughtsphere,United Kingdom,thoughtsphere@jimdo.com,+44 (732) 391-6259,66,15,58,Sutteridge,London,WC1B
01HRVVYCN65TRPNMY4S9YM1K8E,Chatterpoint,United Kingdom,chatterpoint@google.cn,+44 (919) 129-2737,71,11,52,Red Cloud,Liverpool,L74
01HRVVYCN8FJS10V9DWSGKMZ8G,Topicshots,United Kingdom,topicshots@liveinternet.ru,+44 (889) 751-6180,24,13,29,Larry,Charlton,OX12
01HRVVYCNACJH09N2513MJ282Z,Babbleopia,United Kingdom,babbleopia@a8.net,+44 (486) 761-4701,5,14,42,Commercial,Stapleford,LN6
01HRVVYCNBF33MJQVP9SHDMFZB,Skyvu,United Kingdom,skyvu@51.la,+44 (911) 500-0065,2,8,47,Holy Cross,Weston,GU32
01HRVVYCNDAVB2F5T9KTT1CM6W,Tanoodle,United Kingdom,tanoodle@digg.com,+44 (585) 984-5865,56,11,55,Mariners Cove,Church End,N3
01HRVVYCNEPFAFKWRTNAF4918F,Fatz,United Kingdom,fatz@elpais.com,+44 (236) 525-5617,6,8,45,Gale,Liverpool,L74
01HRVVYCNFKSPJF2PKMWR50GA4,Skaboo,United Kingdom,skaboo@shutterfly.com,+44 (178) 719-9840,87,6,53,Schlimgen,Whitwell,DL10
01HRVVYCNGA4ENJNS99AG39Q4K,Tambee,United Kingdom,tambee@ifeng.com,+44 (352) 441-8997,1,14,15,Hollow Ridge,Wirral,CH48
01HRVVYCNH2K6DVAD8GN99PRKC,Wikizz,United Kingdom,wikizz@businesswire.com,+44 (268) 374-3983,76,5,13,Autumn Leaf,Walton,CV35
01HRVVYCNK36F8S6VHTZXJ1SY8,Vinte,United Kingdom,vinte@sphinn.com,+44 (443) 441-5953,99,1,24,Helena,Merton,SW19
01HRVVYCNMKXGPR894Q4VZX2JP,Yodo,United Kingdom,yodo@issuu.com,+44 (619) 417-7331,83,13,35,Stone Corner,Church End,CB4
01HRVVYCNN0M4YNQFR1Y75NX2N,Babbleblab,United Kingdom,babbleblab@issuu.com,+44 (732) 871-4904,75,8,35,Russell,Marston,ST20
01HRVVYCNPT2C07H6BE7VACQCE,Vipe,United Kingdom,vipe@marriott.com,+44 (451) 341-1533,25,9,37,Florence,Sheffield,S1
01HRVVYCMGYF0QM0DACQS2HH3C,Bubbletube,United Kingdom,bubbletube@hp.com,+44 (893) 247-1351,20,14,41,Bartelt,Denton,M34
01HRVVYCP4RPM8007V89ZQPB47,Cogidoo,United Kingdom,cogidoo@bigcartel.com,+44 (678) 345-6095,49,8,33,Prentice,Sheffield,S1
01HRVVYCP6FT0XQX2A1516MBHE,Innotype,United Kingdom,innotype@opensource.org,+44 (273) 347-3396,59,14,53,Arrowood,Sheffield,S1
01HRVVYCP82PFSM94S6A23YJV6,Riffpath,United Kingdom,riffpath@si.edu,+44 (310) 908-4284,1,2,59,Roth,Denton,M34
01HRVVYCPANKW1SEGFSFQTJDEQ,Vinder,United Kingdom,vinder@cnn.com,+44 (661) 746-4001,33,6,25,Clemons,Whitwell,DL10
01HRVVYCPBBDS6HPNP89EF945R,Meembee,United Kingdom,meembee@wisc.edu,+44 (338) 185-3070,78,6,26,Fordem,London,EC3M
01HRVVYCPD832Z80NZ5Q8PF3N8,Zooveo,United Kingdom,zooveo@is.gd,+44 (835) 392-4968,62,10,42,Brown,Sutton,CT15
01HRVVYCPFS4GJZAQ8XR8WYYBV,Browsedrive,United Kingdom,browsedrive@google.es,+44 (436) 438-8602,22,15,34,Heffernan,Ashley,SN13
01HRVVYCPGX54VERZYMEJ2ATK7,Babbleopia,United Kingdom,babbleopia@google.de,+44 (942) 128-9652,47,3,4,Rigney,Buckland,CT16
01HRVVYCPJTCEKDV43G4VC24Q9,Quatz,United Kingdom,quatz@time.com,+44 (781) 545-8509,24,3,46,Donald,Glasgow,G4
01HRVVYCPMKTA2MKWAZD8YSZMN,Jaxnation,United Kingdom,jaxnation@wikia.com,+44 (172) 893-3132,55,7,34,Garrison,Pentre,SY4
01HRVVYCPP37HXQ2D2BKFTRA0Z,Skinder,United Kingdom,skinder@businessinsider.com,+44 (422) 118-1168,75,15,48,Crownhardt,Eaton,DN22
01HRVVYCPQ6X5BVNYQZEC8JWC5,Voonte,United Kingdom,voonte@uiuc.edu,+44 (393) 561-4456,58,1,10,Anthes,Normanton,LE15
01HRVVYCPS6X23YWM2SBQHF22V,Demivee,United Kingdom,demivee@creativecommons.org,+44 (758) 400-0496,82,11,3,Ramsey,Norton,S8
01HRVVYCPVADCMNF3DG99P9BPE,Skivee,United Kingdom,skivee@omniture.com,+44 (454) 117-0231,83,15,54,Northwestern,Leeds,LS6
