delivery_id,order_id,delivery_type,dispatched_date,delivered_date,delivery_status,delivery_cost
67875533964,01HRVX0VXNE9C3EGMB8ZE9NBQJ,Standard,2022-07-11,2022-07-15,Delivered,33.58
33619903012,01HRVX0VXPC0583A60RH3RNCVB,Premium,2020-10-13,2020-10-16,Delivered,19.55
37401445572,01HRVX0SWZPZRW3W501MGG2PCG,Premium,2021-08-01,2021-08-05,Delivered,39.63
47525098713,01HRVX0VJTMY0NRNTF6MYP0ED6,Standard,2020-11-08,2020-11-10,Delivered,31.91
60448808886,01HRVX0VXWR7KMH8F6PAEF518Z,Premium,2021-11-05,2021-11-06,Delivered,25.58
57004013847,01HRVX0VXXX4PB58HDHE2PREG5,Standard,2023-11-05,2023-11-09,Pending,44.49
99034240184,01HRVX0VXZDXN4JWXW8QBFJ0NF,Standard,2023-11-21,2023-11-23,Pending,48.37
89253436455,01HRVX0VY08MJHHZAYMQ53P98S,Standard,2021-07-25,2021-07-28,Pending,8.18
23869881976,01HRVX0VY2S2DV2AMR2BDJM0XR,Standard,2022-01-18,2022-01-19,Shipped,6.17
62059929966,01HRVX0VY3637EB3ETKTRTC8J2,Standard,2021-01-11,2021-01-13,Shipped,27.07
34804137229,01HRVX0VY49MKWD8XGJJ9F92NK,Standard,2021-07-31,2021-08-02,Delivered,23.3
84213106899,01HRVX0VY65NY81B7KZ8ZWEV38,Standard,2022-07-20,2022-07-22,Pending,27.3
41503918996,01HRVX0VY7ESG2XMRHZDEDDHWP,Premium,2020-01-21,2020-01-24,Pending,21.99
62119022753,01HRVX0VY985A4R8N6SE4MT9GC,Standard,2022-03-05,2022-03-08,Pending,14.52
81021175944,01HRVX0VYAX95FS0ZXCXRDJCCZ,Standard,2020-09-10,2020-09-11,Shipped,47.98
91030559791,01HRVX0VYCVK3B4ECCZSNHC93E,Standard,2023-03-25,2023-03-29,Shipped,35.94
71294428208,01HRVX0VYDGSHHZ7Z2AF19J9JK,Standard,2020-04-21,2020-04-22,Delivered,26.32
41250744771,01HRVX0VYFZ06T06DWGKQRVQHZ,Standard,2020-02-24,2020-02-26,Delivered,9.65
37874134779,01HRVX0VYGRC4VHSTBNVDWFGBP,Standard,2022-03-12,2022-03-15,Shipped,25.44
96305864146,01HRVX0VYHT6TJ8PZ4YXHAR138,Premium,2020-02-23,2020-02-27,Pending,5.28
77179448885,01HRVX0VYKFNDDAZACE80ZP9CY,Standard,2020-07-08,2020-07-09,Delivered,8.27
27338973303,01HRVX0VYM3RB71FEN188RY3YX,Standard,2022-07-24,2022-07-27,Delivered,49.8
24859396178,01HRVX0VYPR0ERN76YZ94N0PD3,Standard,2022-05-28,2022-05-31,Shipped,14.43
40323424201,01HRVX0VYQXH3XJXKSFT71FK62,Standard,2023-07-18,2023-07-22,Shipped,42.16
77355894757,01HRVX0VYR8ANRER5KDHWQYR6F,Premium,2022-09-20,2022-09-22,Shipped,23.55
18196070434,01HRVX0VYSXPXW0Q3V86X998H7,Premium,2021-02-28,2021-03-01,Pending,26.66
98581353652,01HRVX0VYT8J1TQQRTZTKFRH6D,Premium,2023-06-08,2023-06-11,Pending,24.26
23678874609,01HRVX0VYV1GVM3J5T0R3EP95P,Standard,2022-02-28,2022-03-02,Pending,10.45
31063639168,01HRVX0VYWGBQ3EV5MRV44ANBT,Premium,2021-04-20,2021-04-24,Pending,32.88
51192769432,01HRVX0VYXH06EJN3EYA164XB7,Premium,2020-01-22,2020-01-26,Delivered,6.37
31067064925,01HRVX0VYYPQHS81W8G91KYP00,Standard,2023-01-20,2023-01-24,Pending,40.82
74869430116,01HRVX0VYZ7AQ9MWYG5GGED5SJ,Standard,2022-04-23,2022-04-24,Delivered,31.58
24471595599,01HRVX0VZ08BJ7ACD80ES2GY4E,Premium,2021-11-29,2021-12-02,Shipped,43.23
29936560151,01HRVX0YXR17EK14T1AZQPAXVT,Standard,2022-11-23,2022-11-26,Delivered,42.97
70221135896,01HRVX0ZSN4DENNQJVS9PS7A5T,Premium,2023-01-13,2023-01-14,Delivered,45.76
63347543843,01HRVX0ZZ6KQQPS3REB6T9F1BJ,Premium,2023-05-05,2023-05-07,Pending,45.14
84715648629,01HRVX0ZZ7QXB70H19SZ662QYY,Standard,2023-08-06,2023-08-10,Pending,16.72
71824830604,01HRVX0ZZ8BKT01P9SMTF71WTQ,Standard,2023-02-14,2023-02-17,Pending,26.54
71928674300,01HRVX0ZZ840WJD5H17TFGD8PZ,Premium,2023-01-29,2023-01-31,Delivered,42.51
71570017637,01HRVX0ZZ98T69X2QZ6NB2E7HT,Premium,2021-06-07,2021-06-09,Delivered,31.77
54174758305,01HRVX0ZZADC3ZHZKSKEFFGNB8,Premium,2021-12-18,2021-12-20,Shipped,37.39
14948227527,01HRVX0ZZBHJ2S2D5HX8NKX7QV,Premium,2023-12-24,2023-12-28,Shipped,35.15
79735174698,01HRVX0ZZCRQMJM3Q4SH42QRYC,Premium,2022-05-08,2022-05-10,Pending,47.94
45879794281,01HRVX0ZZDC2TEM3MG55YKN23W,Premium,2021-05-22,2021-05-24,Shipped,24.63
99419269315,01HRVX0ZZEY3CBQ63210ZYZSY9,Premium,2023-01-11,2023-01-15,Shipped,22.27
15101844974,01HRVX0ZZFRHA8R4CHBBXE9H8Y,Standard,2022-04-27,2022-04-30,Delivered,31.98
29628607729,01HRVX0ZZGSR2J5V7EVH4WM41M,Standard,2020-06-26,2020-06-29,Shipped,6.12
95409443601,01HRVX0ZZH5ZV0Y8XBV2M6X3EF,Premium,2021-10-27,2021-10-30,Shipped,10.11
45348410589,01HRVX0ZZJAA86AQ6S9823VYC7,Standard,2020-04-09,2020-04-12,Shipped,13.63
16096546915,01HRVX0ZZKRGCRV5CZTDGW1B3K,Premium,2020-02-06,2020-02-10,Shipped,49.27
72360875197,01HRVX0ZZMTD7C8E7AAP0AGNKW,Premium,2023-01-19,2023-01-23,Delivered,18.01
44552156016,01HRVX0ZZN0V70FWQW5N4BFDFF,Premium,2023-08-17,2023-08-21,Pending,47.48
19444432163,01HRVX0ZZP04XF7KS2490Q4Q7P,Standard,2020-12-10,2020-12-13,Pending,41.57
50562296159,01HRVX0ZZQHKYPS3TEKQ3ZF7SN,Standard,2020-08-24,2020-08-26,Shipped,33.12
76121573337,01HRVX0ZZR6F7EEGANV79PQGRJ,Standard,2023-01-20,2023-01-22,Pending,13.74
92073747971,01HRVX0ZZSNR89NH5S0A88ZB2V,Standard,2021-12-18,2021-12-21,Shipped,13.85
97941261991,01HRVX0ZZS203D4TWGCZT6FJ3R,Standard,2020-09-04,2020-09-05,Delivered,49.65
36064362575,01HRVX0ZZTM0MNY0Q4ZN2A1KXD,Standard,2023-06-17,2023-06-21,Shipped,13.34
45886673694,01HRVX0ZZVE5WK1019QVNNHCBT,Standard,2020-10-08,2020-10-10,Shipped,22.73
13743767115,01HRVX0ZZW48S7NP7NY8SW3FMH,Standard,2023-12-12,2023-12-15,Shipped,41.82
46607635642,01HRVX0ZZXZFV0W8NE96N6KMZY,Premium,2022-07-28,2022-07-30,Shipped,36.17
88997274409,01HRVX0ZZYEQ6A5D0TFHRGNXVX,Premium,2022-02-13,2022-02-14,Pending,36.7
67413631443,01HRVX0ZZZDEWG7YFRERQQMP4P,Standard,2023-09-01,2023-09-04,Pending,41.78
65996084851,01HRVX1000QJPER82ZYYV5YEB2,Premium,2020-09-24,2020-09-28,Pending,41.68
36716333901,01HRVX0YZFE0V8ZBGCB26FHG95,Premium,2022-07-04,2022-07-07,Delivered,15.82
88667798110,01HRVX0ZVESWYSWVBQZEHWRN4K,Premium,2023-12-06,2023-12-07,Delivered,28.99
93530003159,01HRVX1011WCHPVQH6E7PS5AGK,Standard,2020-10-13,2020-10-14,Delivered,11.52
38121523262,01HRVX1012CJTZ07RXHQ3WNMRZ,Standard,2021-01-24,2021-01-28,Shipped,24.67
29891129566,01HRVX1013B1Y6DFCFWD4CZXMP,Premium,2022-01-27,2022-01-29,Shipped,32.83
65841407799,01HRVX1013WDBEH43J417FB6PE,Standard,2020-05-25,2020-05-27,Delivered,26.48
69347641456,01HRVX1014DZSK8M4XP8N4A1AK,Standard,2022-11-24,2022-11-26,Delivered,47.53
54400359520,01HRVX10152BY238F6Y3NDG8SB,Standard,2020-09-19,2020-09-21,Delivered,30.73
51545249725,01HRVX1016S48V8HEMSXRP7H5H,Premium,2022-02-03,2022-02-07,Pending,27.92
33363845311,01HRVX1017VYNMR8WATS31TKA0,Premium,2020-08-04,2020-08-06,Delivered,16.7
71713023223,01HRVX1018DH7YN79662TX9HZG,Standard,2021-09-22,2021-09-24,Shipped,36.79
56102770143,01HRVX1019FWTYE9R25E49TWMV,Standard,2020-09-30,2020-10-02,Delivered,41.55
50177292296,01HRVX101AJ6BMN32Q3ZRQWV4S,Standard,2023-03-31,2023-04-01,Delivered,14.79
82091249903,01HRVX101BF9Y5EH1K976QQ8SE,Standard,2020-03-22,2020-03-24,Delivered,28.32
86467263626,01HRVX101CCEB3TE10893CAVF8,Standard,2020-01-06,2020-01-07,Shipped,28.78
78628271959,01HRVX101DRK74306AE75Q09T4,Premium,2020-10-13,2020-10-17,Delivered,33.83
57077358740,01HRVX101E2F09TE2FYJ3RBM1C,Standard,2020-05-16,2020-05-17,Shipped,46.69
13456370711,01HRVX101FX55K400TVWTWNM5V,Premium,2023-07-28,2023-08-01,Delivered,44.25
16441754620,01HRVX101G6DTFZCPRYKD4A4N5,Premium,2023-04-13,2023-04-16,Pending,20.73
83063184378,01HRVX101HED6GHZ1CM2YTWPS0,Premium,2022-10-10,2022-10-14,Pending,26.53
29099607585,01HRVX101J8Q8HZF9CK7HP2AZ9,Standard,2023-09-05,2023-09-08,Delivered,34.27
65378753476,01HRVX101JXYM8DZ919QQTVA86,Standard,2020-12-15,2020-12-17,Shipped,35.43
32212654051,01HRVX101KBC64AZ06V72AFJEY,Premium,2023-07-15,2023-07-19,Shipped,26.78
26667892434,01HRVX101MDMV41363NG2V2XJ4,Premium,2022-10-11,2022-10-15,Pending,49.3
65902702719,01HRVX101N494SV7XC0T48MBQG,Premium,2022-05-06,2022-05-08,Shipped,23.67
22872794411,01HRVX101PHDMRGH3YJPHAHK8Y,Premium,2020-03-22,2020-03-25,Shipped,22.66
56748405964,01HRVX101QC8TW9P67N9NYFSJ5,Premium,2020-03-12,2020-03-16,Pending,37.36
80119389298,01HRVX101RTT4QTT42A90BWF64,Standard,2022-09-11,2022-09-12,Pending,25.61
96895795233,01HRVX101SAT5BJD4E7HEBAR9J,Premium,2020-05-09,2020-05-12,Pending,45.95
58859370926,01HRVX101TW3SEPVD9CTCXEK8C,Premium,2020-02-10,2020-02-14,Pending,10.31
63992621812,01HRVX101VQZ1EA8XDKTEJ1PDN,Premium,2020-10-06,2020-10-08,Pending,20.76
86079884332,01HRVX0YXQP8A9QKSV4D25KPJX,Standard,2020-06-03,2020-06-05,Shipped,42.63
13714424285,01HRVX0ZS8XTFN2MZ12R9JPJXJ,Standard,2020-06-03,2020-06-07,Shipped,15.82
15178070920,01HRVX0ZYSF8ZMWKPY0PFC08QD,Standard,2022-07-21,2022-07-24,Shipped,35.88
76507726442,01HRVX0ZYSMYZR627YGRB6T2H7,Standard,2020-03-09,2020-03-10,Pending,45.87
90917126088,01HRVX0ZYS3RFBEABCRPSZ1SEG,Premium,2023-04-07,2023-04-09,Delivered,25.98
95301845188,01HRVX0ZYTMW7YBHKWKT5MD3Q6,Standard,2020-07-22,2020-07-23,Shipped,41.12
77214672711,01HRVX0ZYTNSXE6KNTJ0TC5FFS,Premium,2020-07-17,2020-07-20,Delivered,46.11
29299551988,01HRVX0ZYV9EB2N3FSV8QCARJD,Standard,2023-11-21,2023-11-25,Pending,31.64
90906956098,01HRVX0ZYVTSB0V7NK2P4QAJ7V,Standard,2021-10-18,2021-10-20,Delivered,33.45
21101308800,01HRVX0ZYV058Y66KSXDK03NAR,Standard,2023-06-11,2023-06-14,Pending,29.27
41854510743,01HRVX0ZYWJR6QF4HKVTHF2BT0,Standard,2020-03-02,2020-03-04,Shipped,11.74
39563022884,01HRVX0ZYWQCMRMJH3NZMPA4AK,Premium,2023-12-13,2023-12-17,Shipped,47.13
62053576235,01HRVX0ZYXC9T7Z745HQXX80S9,Standard,2022-03-02,2022-03-04,Delivered,20.41
57022838959,01HRVX0ZYXEDD8DZ6YHETCER0P,Premium,2023-03-15,2023-03-18,Pending,36.61
37214162408,01HRVX0ZYYP5WEBZFSTG6GZN22,Premium,2022-06-09,2022-06-13,Pending,16.34
72736844096,01HRVX0ZYYZW72EX9YRC6HKJJG,Standard,2022-04-22,2022-04-24,Shipped,18.89
93737181567,01HRVX0ZYYS3MGDV92D3CPM97E,Premium,2020-05-17,2020-05-21,Pending,17.46
16271612092,01HRVX0ZYZ79RJ9M6J7XWG2QR2,Standard,2020-02-08,2020-02-11,Delivered,38.22
25878827782,01HRVX0ZYZ20W6ACB0VWG4HD6P,Standard,2020-04-28,2020-05-02,Delivered,18.32
62327487072,01HRVX0ZZ0XN6TVB7S71Z00CFV,Premium,2023-06-18,2023-06-20,Pending,12.4
92740991109,01HRVX0ZZ0NNWWDA0QV36NG1SX,Premium,2020-11-05,2020-11-08,Shipped,48.03
76289718011,01HRVX0ZZ07RV75M40N2115R53,Premium,2023-04-30,2023-05-04,Pending,41.01
75670916143,01HRVX0ZZ1QCC9GFSEH0ASB6X8,Premium,2022-05-22,2022-05-23,Pending,43.42
20933006284,01HRVX0ZZ1FWVKH4Y0G34CPFMV,Premium,2020-08-02,2020-08-04,Delivered,35.41
35540437913,01HRVX0ZZ2HRPJAJPW5HQTZD2B,Standard,2020-11-24,2020-11-25,Shipped,27.04
79052192212,01HRVX0ZZ2N39BT5FWF1PYM2CF,Premium,2022-02-11,2022-02-13,Delivered,33.27
95701098018,01HRVX0ZZ2GKZSRER4VASJ9D7H,Premium,2022-01-24,2022-01-26,Shipped,26.02
75220790168,01HRVX0ZZ32AVG7WRJR3TQCFTB,Standard,2022-08-03,2022-08-06,Shipped,29.14
30338278772,01HRVX0ZZ3D5K60GVTD4M2J004,Standard,2023-10-31,2023-11-03,Shipped,19.88
32729512456,01HRVX0ZZ3HK0N79N3G0H43TVD,Premium,2023-05-25,2023-05-29,Delivered,30.19
74537572425,01HRVX0ZZ45EKC2T1DKYDAWTGH,Premium,2022-03-04,2022-03-05,Delivered,14.23
25662680782,01HRVX0YYNKFJ63S0K1A166B9H,Premium,2022-08-03,2022-08-04,Delivered,40.67
51605149402,01HRVX112EAV17DYPBRXB6VN5M,Premium,2023-04-23,2023-04-26,Delivered,31.24
27211190875,01HRVX11DCGQ9VMWZ9SG77D2MD,Premium,2021-03-07,2021-03-08,Pending,41.39
92292707101,01HRVX11DC22PXABWBSWASW25Q,Standard,2021-08-30,2021-08-31,Shipped,31.17
29206342597,01HRVX11DDY6QZJ0PXN1YTFYDH,Standard,2020-08-19,2020-08-22,Pending,33.08
88276173598,01HRVX11DDMJVM9FR8W199BDAB,Premium,2021-10-27,2021-10-31,Delivered,33.18
97535001313,01HRVX11DDVHESBXN507V7DQSC,Premium,2023-01-02,2023-01-05,Shipped,38.23
55026515705,01HRVX11DEEAVF46T076XRP2QA,Standard,2020-04-27,2020-04-28,Delivered,19.08
74231480651,01HRVX11DEGCJX4NDPAGSQ06BK,Premium,2023-07-18,2023-07-19,Shipped,12.33
80033066700,01HRVX11DE3SKKEND97PDYE2YR,Standard,2020-02-29,2020-03-01,Shipped,45.95
55372608817,01HRVX11DFJV3A12WWTJFX9MR3,Standard,2023-01-19,2023-01-22,Delivered,13.41
36240441676,01HRVX11DF7ZXG49NX6JPJJAAM,Standard,2022-02-15,2022-02-18,Pending,10.63
42160323646,01HRVX11DFNMQMEFS5BWE5HA7Y,Premium,2023-07-09,2023-07-11,Pending,28.08
18535663789,01HRVX11DGW6JSHWPAXKCEDZ1C,Premium,2021-04-14,2021-04-15,Pending,17.21
32675189608,01HRVX11DGEAZMR2T8XG4VHPDX,Standard,2022-02-08,2022-02-11,Delivered,33.21
72643593781,01HRVX11DG1K8G7K42FESCSZAF,Premium,2021-05-13,2021-05-14,Pending,31.14
92687654489,01HRVX11DHGVKMXR25QMT44DGC,Premium,2023-11-03,2023-11-05,Delivered,32.46
80922697855,01HRVX11DH1YJJX2TMJT66ZSMT,Standard,2023-04-03,2023-04-07,Shipped,48.69
78950646664,01HRVX11DH41SQK1WJ7X6MYEF3,Standard,2021-11-10,2021-11-14,Delivered,24.46
11569631384,01HRVX11DJNAT3DFX0S8P0PD56,Standard,2020-06-24,2020-06-27,Shipped,16.48
92465883822,01HRVX11DJ7WTNX9X1H2YQSMAC,Premium,2023-03-04,2023-03-05,Delivered,6.48
89431563613,01HRVX11DJZVWG7BRA7BEDHB8Z,Premium,2022-10-13,2022-10-15,Pending,41.2
28937151051,01HRVX11DK9GMK6VEVKPCWSA8T,Premium,2020-08-12,2020-08-15,Shipped,19.84
19058821701,01HRVX11DKYA14KCS38Y5ZYMFZ,Standard,2023-04-05,2023-04-07,Pending,31.19
61850395912,01HRVX11DMC2GS2KY6GWPRC4QK,Premium,2021-10-27,2021-10-28,Pending,45.27
47216496095,01HRVX11DM4V4GSVPBRV1WGANH,Standard,2021-08-29,2021-09-02,Delivered,44.25
68690743264,01HRVX11DMJ2FP3CHNG4D486J6,Premium,2023-12-12,2023-12-16,Shipped,44.83
41894572108,01HRVX11DNZFBDYSTS9T4QD8DK,Standard,2022-11-26,2022-11-29,Delivered,28.64
14269120179,01HRVX11DNFCGSPDVN9EQHBEAS,Standard,2023-04-17,2023-04-20,Shipped,49.28
76784379498,01HRVX11DN2FM64ED3Y3MED7P2,Standard,2023-12-19,2023-12-21,Delivered,39.06
70432809048,01HRVX11DPAAH5XK40TSZH6TZX,Premium,2023-09-12,2023-09-16,Delivered,16.84
54855155772,01HRVX0YZRC7TFWQV8XPHFVEHW,Premium,2023-05-07,2023-05-09,Shipped,47.02
90567110897,01HRVX0ZVAVKV2HM5486C16MTA,Premium,2022-12-27,2022-12-30,Pending,41.89
42533074420,01HRVX100WK2H11Q79TR16TES0,Premium,2020-09-18,2020-09-20,Shipped,31.47
81731384137,01HRVX100WG0KVM7WKMPNBA2JX,Standard,2020-08-16,2020-08-18,Delivered,12.3
94468358153,01HRVX100XG8EEEN1A6Y8FGTK6,Standard,2023-12-03,2023-12-07,Delivered,9.21
91047319442,01HRVX100Y8F56PBXQY0P1G619,Premium,2020-10-27,2020-10-28,Shipped,31.23
28981392958,01HRVX100Y5A34M2WEY1MJEJYJ,Premium,2020-06-08,2020-06-09,Delivered,6.04
83358662682,01HRVX100ZM38TYQM967N9MZPK,Standard,2020-08-25,2020-08-28,Shipped,49.01
27970164100,01HRVX100Z3847788HW47R6X1Z,Standard,2023-11-06,2023-11-09,Shipped,24.5
15586444169,01HRVX1010JMQ7Q5ZCWM80C7FS,Standard,2022-04-04,2022-04-05,Pending,7.45
68117750825,01HRVX101152067EM37KYMY9T6,Standard,2021-03-14,2021-03-18,Delivered,33.26
96140065342,01HRVX1011YSXMN8ZEG7982PY9,Standard,2022-02-07,2022-02-08,Delivered,28.29
96552870738,01HRVX10129T40N0A5VY8M7BRJ,Premium,2021-02-05,2021-02-06,Delivered,8.55
21107629409,01HRVX10138BC8PWQHH9Q52VFD,Standard,2021-09-04,2021-09-06,Pending,48.06
33854759933,01HRVX1014SRZ1YA77ZX7HJ3V9,Standard,2023-12-13,2023-12-17,Pending,46.98
62865266534,01HRVX1014HPGT7S80WH5S18KA,Standard,2023-06-28,2023-07-01,Shipped,37.92
38969985786,01HRVX10155T5F47CGGPRS90A4,Premium,2021-04-17,2021-04-20,Pending,36.69
44712826822,01HRVX1015GXAY8ZJTNC1FS43E,Standard,2023-11-13,2023-11-17,Pending,34.18
66709188479,01HRVX1016AASQNPBTXFVZH23F,Standard,2021-10-19,2021-10-23,Pending,24.79
34873092274,01HRVX1017XC0M0NGX4PES2F84,Standard,2020-09-11,2020-09-15,Shipped,44.09
65567212782,01HRVX10174ZET4DGBR3WKR0W0,Standard,2023-06-06,2023-06-10,Delivered,8.01
25637189337,01HRVX10181S78ZFPXGG4GEFJY,Standard,2020-08-02,2020-08-03,Shipped,32.48
99868884736,01HRVX1018C2TB72CVGH38T2QY,Premium,2022-11-18,2022-11-22,Pending,18.39
48007367963,01HRVX1019R8FP70G354636GK6,Standard,2023-03-14,2023-03-17,Shipped,34.03
41119876873,01HRVX101AC71J9NT67QQKR7ZA,Standard,2023-02-07,2023-02-11,Pending,32.89
33367042849,01HRVX101AQH4HA6DRAETJVWZD,Premium,2021-05-22,2021-05-25,Pending,23.06
61491077869,01HRVX101BHDTPM3074FK0J83N,Premium,2021-06-18,2021-06-19,Delivered,31.83
39940053358,01HRVX101BACGC0EHVE6G9GRP1,Standard,2021-01-21,2021-01-24,Delivered,8.25
54393944972,01HRVX101CSJG5YKQ69YZ2FK2C,Standard,2022-11-02,2022-11-06,Pending,47.61
35431520675,01HRVX101DNX2BZVQ8SW0TTAK7,Premium,2020-06-06,2020-06-08,Pending,26.99
40926289529,01HRVX101D2E2WRJ0PWF6ADWAJ,Standard,2021-11-20,2021-11-23,Pending,23.94
55639285259,01HRVX0SYD9WFTQ1B5HHDAKVBY,Premium,2023-06-04,2023-06-08,Delivered,34.6
55272134498,01HRVX0VMAYVP1ZRTFK8HPRQNV,Standard,2020-03-11,2020-03-13,Shipped,8.89
40808762491,01HRVX0VZA4TRA73CDR1KDP7VC,Standard,2020-01-05,2020-01-09,Pending,22.97
22797826047,01HRVX0VZB4V13DEYEVH4ZY7T6,Standard,2020-11-27,2020-11-29,Pending,13.16
20629653491,01HRVX0VZCJPE7FE6HGQ25PMWX,Standard,2023-12-27,2023-12-31,Pending,12.71
27965681459,01HRVX0VZD7QGTX61G0FWJ97CW,Standard,2021-11-28,2021-11-29,Delivered,47.55
71887199152,01HRVX0VZEDHHEKA3Z4CN7TG50,Standard,2021-02-21,2021-02-23,Shipped,28.19
88737584030,01HRVX0VZF7808NBKCAHXYWRDE,Premium,2023-05-21,2023-05-23,Delivered,37.72
38119621755,01HRVX0VZG4KMJWBY31C47VN3P,Standard,2020-10-30,2020-11-01,Shipped,33.89
34793501369,01HRVX0VZHNQB9KXTKT7426YA7,Premium,2021-11-23,2021-11-26,Shipped,49.71
99343898710,01HRVX0VZJ7D8BSJ37Z016XMJT,Premium,2020-03-03,2020-03-07,Pending,43.14
59742739477,01HRVX0VZK1PR2S25BDDHKZ6H1,Premium,2023-02-11,2023-02-14,Shipped,31.72
96564712865,01HRVX0VZM8XS6QQEMM8RY9AY0,Standard,2023-12-13,2023-12-15,Delivered,42.12
67599267340,01HRVX0VZN9QA56XHEJ8Z4GK0Z,Premium,2022-01-08,2022-01-12,Shipped,7.63
43899336064,01HRVX0VZPVKV36MNFK42YQXCA,Standard,2023-10-26,2023-10-30,Shipped,13.59
35113230855,01HRVX0VZQ8SBGKFN9Q8SWFXR1,Premium,2023-10-10,2023-10-11,Delivered,29.75
31282447780,01HRVX0W7HDDGXW0S404CCSCW3,Standard,2020-01-17,2020-01-20,Shipped,34.24
47120414304,01HRVX0W7JX3X7J1C932KP3PJT,Standard,2021-12-16,2021-12-20,Pending,15.93
37045311414,01HRVX0W7KWJDR4TX02NGN0JVH,Standard,2020-10-04,2020-10-07,Pending,31.92
35863441807,01HRVX0W7KSESH6DCQ0Y1S2R1G,Standard,2023-06-15,2023-06-16,Shipped,48.04
21145880226,01HRVX0W7KYFN31FATY86KJJX0,Standard,2023-05-20,2023-05-21,Shipped,22.16
16231903503,01HRVX0W7NM0VVXT9QX0JDHK1B,Premium,2023-09-12,2023-09-13,Delivered,49.6
66458565135,01HRVX0W7NEEY62GFH2PAKW8YC,Standard,2023-02-21,2023-02-25,Delivered,40.98
19792923926,01HRVX0W7P334AC2XW4QNCDB76,Standard,2023-04-11,2023-04-14,Pending,19.56
95736899977,01HRVX0W7PWNFYN93WZBW0NS9J,Standard,2023-03-06,2023-03-08,Shipped,35.7
80724986736,01HRVX0W7Q3H0Y8HSEHQR9HM24,Premium,2023-10-11,2023-10-13,Delivered,48.69
93395226485,01HRVX0W7QPTCNJ5M997RJNJCC,Standard,2023-10-03,2023-10-07,Pending,27.6
43978079799,01HRVX0W7QJESP4YWAZCXRWRPP,Standard,2022-12-19,2022-12-22,Delivered,28.44
82212561374,01HRVX0W7RY9DKA1470YZG7ZT0,Premium,2021-06-09,2021-06-10,Delivered,45.05
