supplier_id,supplier_name,supplier_contact,email,unit,floor,block,street,city,country,zip_code
51d38c13-680c-4f5c-8613-5eebf9303c9b,"Wright, Williams and Manning",+44 166 704 7653,zclarke@williams-barton.com,6,11,S584,Sullivan village,Sharpshire,UK,DY01 8PU
50bb543f-1b38-431e-9f32-cedf5e0e8977,Booth-Gray,+44 138 115 6995,june19@outlook.com,758,37,A934,Carol manors,Dianaview,UK,L4 6XS
471e7ef7-8001-4916-ae57-7ca7e1467286,"Thomson, Wilson and Begum",+44 381 402 8418,lawrence71@yahoo.co.uk,08,22,Y417,Powell bypass,Walkerton,UK,M8D 0AB
54705524-5ec9-4c44-b943-dfdbfb2bf201,Hussain-Mitchell,+44 958 497 1706,staceyholmes@gmail.com,2,11,V490,Roberts light,Lambertmouth,UK,W5 5AT
a62e4814-5867-4e1b-863c-f48d49bdb0e5,Morris-Lawrence,+44 333 821 3231,jmoss@roberts.com,80,18,E898,Linda port,West Sarahview,UK,DL0R 2QA
615f6794-9bbb-402d-96c5-854666d1496b,"Macdonald, Gibson and Wilson",+44 767 053 5822,matthewparkin@gmail.com,96,38,S605,Carter lane,New Lydia,UK,PH12 1QF
fded6b4a-68da-4dc3-8a43-2ee920b0e5cb,Dennis-Poole,+44 182 490 6862,julianwinter@owen.com,177,1,I163,Shaun turnpike,Port Geraldine,UK,B95 3ST
6b191d1f-d841-45cd-8640-79f6133d541f,Taylor-Richards,+44 715 199 9840,xakhtar@yahoo.com,55,43,P708,Ross views,Kayleighbury,UK,N8 2GE
3db993f7-9830-40f4-b440-ab70b62e9f87,Pratt-Miller,+44 130 487 1931,wardcaroline@gmail.com,30,9,E372,Lynne locks,Clarkport,UK,BS4B 0UP
d2409d88-4d4c-4961-bcab-e981bdcff500,"Russell, Hill and Roberts",+44 549 933 0832,parkerleanne@ingram-barrett.com,092,43,U688,Naomi cliff,Samuelbury,UK,TD9R 7NE
53d27468-a2ef-4d9f-928e-721bb6769cf0,Morris LLC,+44 548 905 5751,shaunthompson@gmail.com,523,17,Q296,Jones field,Barnestown,UK,B81 1BE
57cf7ba0-9364-4145-b107-abce1d1c8f73,Hill PLC,+44 235 160 0292,wayneclark@marsh.com,55,43,B408,Holland spur,North Jodietown,UK,B0G 0QJ
e40153bb-61f8-4adf-99f4-2454b38b1276,"Gardner, Wade and Williams",+44 016 208 4782,fmiller@gmail.com,13,37,X599,Thompson lakes,Elizabethberg,UK,E7 4FY
be5e33ba-62d7-4d3b-ab85-eefc15a65eae,"Brennan, Long and Shaw",+44 274 799 3306,ellisnaomi@jones-butler.com,49,44,U540,Justin mill,Dominicburgh,UK,NR03 5XP
c0b3c7f1-9bdf-4916-af77-a78d50d7dbb9,"Shaw, Booth and Richards",+44 891 697 1455,stewartfowler@hotmail.com,18,20,Z952,Scott via,Hicksburgh,UK,N6W 2RP
4a724f7a-a97c-45d1-ba3a-411a856f1cd9,"Wilson, Jenkins and Clarke",+44 966 446 1081,twalsh@oliver-turner.net,200,27,L624,Ian turnpike,West Laurenside,UK,L15 2SQ
1f31a00c-78cc-4b32-8483-935c86a52bf8,Elliott PLC,+44 216 956 7265,rosie31@walker-walker.net,7,5,A039,Young junctions,Metcalfeland,UK,B9 4YT
6ad2f0f0-91de-4556-9b5e-c2bee644bfe0,Robinson LLC,+44 394 527 8656,smithstacey@yahoo.co.uk,943,41,V176,Jones plains,Dennisborough,UK,W8H 3FY
81809102-d127-4b66-991f-49a8ea0cf991,Harrison-Naylor,+44 184 581 7008,kieranford@bell-williams.co.uk,323,17,E113,Smith crest,Port Russell,UK,S09 2YE
543548af-95df-4fdc-b7cd-e3efba4c8166,Collins Inc,+44 644 864 4339,masonholly@evans-stevens.com,363,8,R038,Yates shoal,North Julie,UK,M1C 8HN
e3571e4b-ca97-407c-81f4-82848c520e48,Skinner-Holmes,+44 446 297 7110,abigailhayes@jarvis.net,0,5,N713,Harriet tunnel,Curtiston,UK,B9 0QA
e016e59b-0b1f-4baa-8510-d2759a14e0f8,Johnson Ltd,+44 681 747 5377,awalker@dunn.net,6,32,O461,Lee gardens,Jenniferhaven,UK,N7J 3XJ
59d466db-8469-4de8-b8f0-1859432ba475,Reid Ltd,+44 416 673 8471,atkinsonmaureen@hotmail.com,124,50,T891,Clark locks,Chapmanland,UK,G02 5DT
c60ed43f-708b-4088-8e61-b67489152d28,"Roberts, Murray and Hart",+44 414 852 2469,irichardson@morris.com,931,24,L450,Walters walk,East Leslie,UK,ST9 6PA
3632f24e-aad8-4251-ae05-99b31b98217e,Evans LLC,+44 037 732 3237,tomabbott@hotmail.co.uk,48,5,L705,Stone parks,Lake Kim,UK,WV6 4DH
1c94cca9-0f97-4575-93d9-80824070a124,"Harris, Shaw and Mann",+44 048 701 2009,paulbennett@hotmail.com,71,29,L323,Georgia island,Janetside,UK,ST6P 2ZR
452c2141-0041-4b71-9a1e-fb74bd101eff,Bates Group,+44 538 591 3334,neildavies@yahoo.co.uk,3,14,J128,Daly bridge,New Barbara,UK,E94 2TL
2f59de66-7664-4053-bcb9-db7dfc268731,"Turner, Rahman and Sanderson",+44 023 954 4760,campbelljayne@hotmail.co.uk,9,47,M676,Williams causeway,Griffithston,UK,CO6 6ZR
fd39a08b-f4fc-413a-b814-75da283b5d64,Webster PLC,+44 035 178 9660,bhughes@lewis.org,819,47,U741,Carol springs,Williamshaven,UK,MK48 0ED
cff11420-65bb-4c84-aaa0-4aeb7f2925ee,"Hussain, Kelly and Byrne",+44 416 177 9907,bpotter@outlook.com,5,39,U958,Howard summit,Millsmouth,UK,BS4 2LN
f166af7f-39ab-4296-a3a0-08839bacf8bf,Dunn PLC,+44 934 217 0500,abigailjohnson@outlook.com,055,36,J058,Reid square,Pamelaburgh,UK,CH94 5AU
dcb7ebda-c12e-47dc-b953-470d1f73f855,"Baldwin, Edwards and Davies",+44 209 845 8756,kaypaige@yahoo.com,79,43,R649,Elliot prairie,Simonmouth,UK,CW4 4GG
3ee58173-f677-43f9-a9c3-fa0d6b08f669,Walker-Gregory,+44 103 582 0505,hugh34@yahoo.co.uk,3,49,Y470,Eric centers,East Christopher,UK,CO9N 3PS
1c90f6d4-e6bc-455f-84d0-326b3c86d9a1,Bradshaw-Walker,+44 004 147 6502,clive36@gmail.com,1,4,T062,Robertson views,Lake Anthonyborough,UK,NG05 4SP
05204a02-4359-4e70-9f62-58f4b686adfa,Harris and Sons,+44 001 824 9551,brett08@smith.com,4,23,J568,Laura corner,Lake Brianville,UK,M5A 5JS
155222e6-800f-48b3-b826-5b86eeb6b7d3,"Smith, Booth and Waters",+44 182 266 6903,qcox@outlook.com,5,36,O812,Webb tunnel,Roybury,UK,S4 5SP
c870957f-e76f-421d-92aa-ddc41421f21f,Walton PLC,+44 573 925 4934,jonessandra@gmail.com,17,12,J231,Carol roads,New Michelle,UK,M7G 6ZZ
63e2486a-aaf4-45d3-85e4-d94126b066a1,Hodgson-Hughes,+44 525 055 8786,gemma19@jones.com,0,43,G976,Carter radial,East Ben,UK,B53 4UL
c7ca332f-469e-42d6-8b63-5ab42d9a4c4a,Crawford-Armstrong,+44 634 282 8490,butchergordon@ali.com,3,37,M530,Wilkinson locks,Port Shirley,UK,HG4 1UL
6318a19c-1538-451f-bd8e-bc6aa80acb0e,"Wilson, Sims and Bennett",+44 295 274 3356,lwest@hotmail.co.uk,712,14,Y149,Jonathan flat,West Katytown,UK,M89 1YQ
f3fd3b69-a860-4e33-87a9-b90f5fe0bf21,Russell and Sons,+44 607 779 4713,batescameron@outlook.com,535,37,I336,Glenn gateway,Port Nigelland,UK,BD17 4UP
ddeef26b-2b97-4024-af9d-f2a5849678dc,Griffiths-Holland,+44 574 965 3475,fergusontracey@elliott.com,233,45,Z853,Kaur shoal,Susanview,UK,N0K 2RH
0f1dd692-8e1d-4817-859a-e67eeceb327a,"Gallagher, Foster and Davies",+44 185 248 6471,estevens@carroll.biz,7,38,M125,Clive spur,Port Tinaport,UK,W16 3PN
14364fd9-9d5f-4838-8a47-5ad3a80ceff3,Clarke PLC,+44 230 914 4245,squinn@long-rahman.biz,16,42,Q909,Olivia dam,Bibiside,UK,RM7H 8YW
8de6dede-4823-43dc-a2ec-5160eef1ae40,"Oliver, Adams and Rees",+44 953 311 3646,westfrederick@outlook.com,422,45,M627,Albert flats,North Marilyn,UK,DL3W 1YA
cc4c5176-d0c3-4bda-b8a9-3db7c4459a14,"Mills, Clements and Barnett",+44 240 563 4455,knicholls@collins.com,84,26,Y675,Roberts prairie,West Mathew,UK,M5G 3JN
e0e3fcd5-3745-4a53-9d36-3b14b90fa61a,Walker Group,+44 402 128 9340,robertsonadrian@pearce.com,64,43,R630,David course,Carolechester,UK,BT62 3ZZ
be5a8197-7ca4-4223-ad17-13af150296d5,Cox-Bruce,+44 208 199 3151,xmetcalfe@outlook.com,217,4,X833,Lewis port,New Stephenberg,UK,LU14 8BD
ceaf1eb6-67ac-4072-9ea3-8701b52b4461,Bates PLC,+44 190 610 7461,lesliedavies@yahoo.com,26,2,S730,Singh spur,Lake Nigelside,UK,S89 2QX
874bfb29-34da-4479-8dae-7d9c3d638d71,Bryant PLC,+44 309 161 5421,reynoldstrevor@rhodes-johnson.info,39,12,O518,Roy branch,Bryantown,UK,N15 0ND
8c6d9647-c435-4540-9cdd-0e836335a175,"Stewart, Hawkins and Law",+44 989 797 4495,stephenthomas@taylor.com,07,46,L229,Lee mountains,West Juneport,UK,AB3 8XB
fc98dbde-222b-45e0-9819-dc5e8f86f756,Saunders Inc,+44 745 778 4576,sharptimothy@watson.com,113,13,N436,Max lakes,South Julieport,UK,E0 8GS
f11e0134-4d1e-4076-bba8-0a4435bcd77d,Nash-White,+44 076 057 6031,llee@hotmail.com,87,14,A557,Hammond extension,North Joan,UK,S2 0EY
1cd5807d-2e6f-4493-8b3b-3b947477d0e8,Murray-Collier,+44 287 143 4664,matthewward@hodgson-jenkins.info,2,25,F832,Henry street,Shahchester,UK,G72 5QB
6a2406db-210b-49f7-9ad9-c85f7c02a658,Burton-Butcher,+44 987 523 0855,millerkyle@hotmail.com,84,38,Z249,Jacqueline walk,Whiteshire,UK,M20 5HA
c041b9d0-e110-4d81-81f1-0955a620d7e6,Wood Ltd,+44 228 285 2850,beverley41@west-hill.co.uk,22,2,B953,Kim fall,Coxview,UK,WV55 2XJ
f68bfb8c-32b5-4e36-ab85-6d7aa11bfd14,Rice-O'Connor,+44 591 652 8389,cookduncan@may-smith.net,423,31,J132,Leonard divide,Ianton,UK,E2S 1HE
06056255-3b08-4c5a-bc6e-4079276cc0c9,Collins-Gill,+44 786 004 2819,leonardbrown@saunders.com,898,49,M131,Terence light,Port Josephinechester,UK,BT2 6AY
0046543f-c6a9-4f39-8929-71ca999896a6,"Higgins, McLean and Thomas",+44 151 765 8273,roger26@cox.co.uk,651,7,X293,Melissa garden,Victoriaburgh,UK,L4H 8EF
540e8c44-b53f-4ab2-986d-6c7c6e50d9e3,"Holloway, Murray and Hughes",+44 486 587 8476,jadejohnson@watts.org,643,50,F558,Morgan lights,Rogerborough,UK,N05 4UB
0460c8d1-adcc-4488-ada8-f37a1fe5cd6e,Bell-Warren,+44 995 535 5245,tracy53@burke-bevan.info,92,34,X700,Jay lane,Duncanton,UK,CA4R 1HT
34c52f98-5eae-409b-a3d6-fa44466429c3,Jones and Sons,+44 394 993 4569,andrea62@hotmail.co.uk,235,28,H521,Curtis common,South Glennland,UK,FK3M 9LZ
f44b2ea1-9fdf-4183-99eb-8e30884d84f3,"Giles, Willis and Bates",+44 555 885 3979,craigjones@hotmail.co.uk,8,13,V322,Brown ways,New Emilyport,UK,S1G 8HS
47e2d738-81a6-4596-808f-f85a15bd9e5b,"Thompson, Hall and Barker",+44 514 720 9385,traceybradley@obrien.com,56,38,N820,Shaun avenue,Frederickfurt,UK,HG8 1AJ
ff3afece-7056-40cd-aac2-93f4adce4171,"Parker, Ryan and Taylor",+44 892 865 2039,jasondavison@outlook.com,8,22,I917,Joel road,North Clive,UK,L16 0DX
b97b3faf-d773-42ae-b311-155526bac91c,Burton Inc,+44 870 251 6828,walkermelissa@barnett-ingram.biz,884,23,R967,Frost stream,Port Leslieberg,UK,PO71 3PH
2d3c8c47-5ed4-4480-8463-afea9e838df9,Carter-Warren,+44 055 655 6662,hillstephen@potter.com,24,40,O585,Allen plains,Darrenside,UK,B2 0AU
e30ffa16-a1b0-4bd6-9bbe-362e14d5b733,Hayes-Cox,+44 055 120 0663,jacobrichards@yahoo.co.uk,22,2,Z071,Harvey villages,North Graham,UK,EC1 3ZY
431f6b77-a53d-42a6-a388-1bf353693ae4,"Jones, Holmes and Lyons",+44 614 958 2351,ubarker@thomas.biz,571,50,B005,Rosie springs,Alanton,UK,G0 9RF
ada65121-4943-447c-b3e3-e29ed813f1bf,Benson and Sons,+44 500 179 1797,linda89@holmes.com,65,3,O554,Campbell keys,Lake Lynnemouth,UK,E5 6AB
56776782-8eb3-49b6-9d6d-ad51de5a34b6,Day-Thompson,+44 009 478 2773,fostermohammad@thompson-evans.org,375,5,J615,Pugh village,Ahmedtown,UK,S1 7SA
93ebefb0-bd1d-4e3c-8988-74276cd531a8,"Ward, Sykes and Riley",+44 627 460 6132,jordanlucas@yahoo.co.uk,853,2,Q285,Davies turnpike,Port Amandashire,UK,WA83 5GW
42254c22-4b47-4ed8-a925-6caa072edfe2,Cox Inc,+44 070 139 5926,elliottwheeler@outlook.com,481,20,E990,Shirley court,Hamiltonberg,UK,N9J 2HA
820301c0-4a66-4ba6-be8f-9c157043f8d6,Simpson-Young,+44 581 444 9078,gerardmetcalfe@gmail.com,079,33,G394,Campbell groves,Dorothybury,UK,N4A 2NH
bfd21e2d-7ad5-492b-a7dd-68389aaa9335,Clarke-Cooper,+44 006 704 7842,hayley74@taylor.com,78,28,I200,Murphy crest,West Leeside,UK,BD7W 1UE
2c7d412e-b7a6-4e2d-9668-6b4b6dac2a29,"Hill, Booth and Whitehouse",+44 133 651 2160,robertsellie@crawford.com,0,6,S100,Lauren trail,Elliottmouth,UK,NG32 4YE
d859ece9-3f3a-4478-8b53-ac15577a7fb6,Ahmed PLC,+44 971 566 2725,vbruce@hancock.info,809,12,X377,Mills crossing,West Stephenstad,UK,PA48 3PD
b33c01d2-3fec-4bae-9548-3f539e58a6fe,"Hutchinson, Byrne and Farrell",+44 165 812 9972,annettehunt@wilson.com,27,23,G542,Maureen row,Carlside,UK,L31 6RX
f42d260c-6c52-4281-9ed6-76621fac5ff9,"Bond, Bryan and Evans",+44 306 647 0208,lewis22@outlook.com,8,3,E052,Wendy key,East Chelseafort,UK,E96 8PS
4390f4b6-1627-4e70-b75b-d67bb18cd5e9,Payne Inc,+44 237 311 2940,sheilacooke@hotmail.com,71,23,L238,Ricky plaza,South Donaldmouth,UK,CW3E 3NR
de65d395-ca5d-4633-94a9-08f6fe444d3b,Spencer-Scott,+44 848 903 8912,barrychambers@hotmail.com,92,6,H426,Clayton wall,Melissafurt,UK,B64 1YX
c19e6038-e0c5-4f3e-9463-53c01a25c3b0,"Hewitt, Kaur and Bryan",+44 388 811 3617,keithsmith@hotmail.co.uk,19,46,J979,Bird knolls,Lake Naomi,UK,TQ29 4ZZ
74f7a8d6-5514-4fb0-bf28-a2e8a3b0adf4,Long-Smith,+44 177 412 7287,parkerdale@flynn.com,2,20,G457,Gibbs mews,Hannahtown,UK,G2 3XP
41532f84-7dca-47cb-ad58-7e4ca9be7a85,Brown-French,+44 371 673 0007,skinnerlynda@smith.com,72,27,X809,Davison ville,Aaronberg,UK,YO7 7LG
e08f78e8-fe1e-4cac-8bdc-6281c39ce376,"Shaw, Edwards and Hammond",+44 881 201 9734,scottjoyce@kirk.com,6,14,A368,Graham cove,Garethland,UK,NE66 4PD
65719301-4bbc-4036-aad8-59ed32a3059a,"Cooper, Palmer and Jackson",+44 168 489 9843,sfitzgerald@pritchard.info,412,28,Q380,Tracey crossing,Joannefurt,UK,DL86 6FS
88330b53-4c63-4043-91da-dbbaa0421a0b,Storey Group,+44 574 866 1944,simscatherine@hotmail.com,6,20,M744,Davies pike,Campbellchester,UK,NW89 1WL
0b9d3a8c-a742-4fb9-a673-57fd2c92b5ec,Owen PLC,+44 560 811 1231,wwilliams@holland.com,9,24,Q139,Brandon bridge,Parkershire,UK,HX8 1YD
363fa02d-d33b-4172-85d7-030c18ed2683,Cox Inc,+44 359 038 9817,blakeoliver@outlook.com,308,32,A650,John river,Davieschester,UK,PL01 2QJ
05345176-838c-4938-a1ac-99d80bf0755f,Goodwin-Cox,+44 677 867 8681,coxsamuel@bailey.org,4,32,K745,Long inlet,Lake Tomville,UK,CT7Y 2ZQ
3234c701-069d-4ee1-a2ef-4c824b283e45,Kirby-Mitchell,+44 233 010 4592,edwardsgraeme@hotmail.com,19,42,U260,Brandon plains,Richardsonton,UK,E2U 7TY
d5ca176a-dcfc-4d50-b9e0-df26c09f4083,Bond LLC,+44 284 883 7773,fjackson@hotmail.co.uk,2,35,B403,Malcolm pike,East Paige,UK,E6D 1NH
34df7bbb-623c-4649-9f4d-f7f555536200,"Price, Leonard and Nicholls",+44 806 369 0174,leon52@hall-phillips.info,27,42,W588,Knight spur,Brownmouth,UK,SO34 4PA
6bb76dd0-c9ed-48a2-95d8-9626389b288d,"Allen, Stewart and Berry",+44 071 763 3700,fhudson@smith-houghton.org,96,31,I381,Faulkner forge,Baileymouth,UK,L9 9GE
0f1adb0b-9e12-4d03-ab93-ef021958b1b5,Bradley LLC,+44 573 421 1463,kerryward@bowen.com,207,49,D050,Lynn point,Lake Josephinechester,UK,LU40 2GX
d0089e5d-edfd-4d36-b9ba-4a2c40493085,"Thomas, Hussain and Ward",+44 156 044 7014,eileen16@barker.com,0,43,G648,Green walks,Richardsberg,UK,ME4A 1FB
5ed707a4-01be-4fda-a939-743b625b0e6d,"Adams, Owen and Austin",+44 538 371 5620,reesjanice@boyle.info,12,49,X654,Williamson mountains,Port Seantown,UK,PH4 9QY
6927d64a-2570-4ab8-829b-2f50f681d5ea,Lee PLC,+44 274 746 4183,dross@parker-hawkins.com,027,46,O536,Lauren canyon,East Tinafurt,UK,JE6E 1DH
b7bbbe37-35c8-4461-b702-efdafa10b1e2,Murphy Inc,+44 823 193 3574,tbryant@yahoo.com,28,18,Y784,Lisa canyon,Port Emilyside,UK,B4T 7UW
f575e934-73f3-4d9f-9743-38dc2609335b,Doherty-Page,+44 513 519 4728,hugh08@gmail.com,222,44,M655,Andrew islands,Declanland,UK,E81 7JE
1fb7ef1a-7ed9-43a5-9d44-927a82ead525,"Edwards, Kent and Williams",+44 766 361 8858,martinfrench@hotmail.co.uk,96,41,G758,Thompson mountains,Westhaven,UK,WN5N 1UP
b23d35a2-c15a-4570-bb48-73709df4e589,Brookes Ltd,+44 400 679 6449,martynmarsh@yahoo.co.uk,633,16,N823,Richards fords,Jeffreybury,UK,W56 1RH
2be5b6b3-cac9-44a3-b7a2-d8810a5445d1,"Bell, Bradley and Campbell",+44 360 220 4156,xsimpson@martin-woods.org,39,28,X799,Dean plain,Taylorfurt,UK,SR1M 0TS
4adb4134-b4ca-4842-b41b-6fcd2a315adc,"Reed, Reynolds and Davis",+44 059 050 0903,knightgavin@taylor-fisher.org,05,15,B337,Ross village,East Zoe,UK,L7W 9WD
074373ce-7eca-45a1-9ba4-575adabf430c,"White, Jones and Cook",+44 928 919 2554,roseliam@dale.com,949,15,R581,Cox island,Georginashire,UK,TQ5 2ZQ
b3fa8606-6ca9-4701-a07d-7768272e1abd,Matthews Inc,+44 488 128 7194,kimberleypatel@hudson.biz,26,39,V163,Ali haven,Harrisonville,UK,FY86 8FG
8a732438-28f6-464a-978f-c487bdf9e201,Cooper-Short,+44 170 910 3584,hiltonlisa@hotmail.co.uk,15,5,C261,Martin overpass,Port Frank,UK,G5W 6LT
320d2132-8038-4e03-a865-68d08fbaed79,Johnson-Newton,+44 906 633 3560,ben19@hobbs.info,17,3,P268,Clark loaf,Lake Garethville,UK,RM3N 6WN
a3efcff6-7dc5-4b45-93f0-24ed9f824b08,Ali-Lewis,+44 541 955 7744,qjones@austin.com,30,19,C458,Hughes cape,Ryanshire,UK,N7 2TS
7a2f61d0-d72f-4bdc-91be-14f635f705eb,Thomas-Edwards,+44 792 280 1468,ruthharvey@allen-begum.biz,075,10,K501,Andrea radial,East Kyle,UK,NR61 5DJ
751447f3-fbe3-42f8-b5b2-72d3febaab08,Smith-Smith,+44 533 086 9250,ubell@douglas-dennis.net,231,10,H076,Holland highway,Cooperside,UK,M0 0UY
9c08658f-f3f1-47ae-9d25-855a9418702e,Fox-Morgan,+44 065 335 2691,pthompson@hotmail.com,5,7,O063,Frank road,Smithbury,UK,CM1H 8LA
ba3158a1-8e85-453c-b33d-30227a045c0d,Armstrong PLC,+44 504 924 2065,dbrown@wood.com,4,19,O499,Danny crossroad,Priceside,UK,NR5 6PL
81988240-18c1-4fe1-b2c1-94b14cb3af4d,"Bailey, Barton and Campbell",+44 321 147 4285,helenperry@gmail.com,35,34,X018,Thomas prairie,Lake Joemouth,UK,B87 5ZA
ce5c9739-c0e8-4991-8543-4a9fe1908503,Perry PLC,+44 111 802 1496,andrew56@yahoo.co.uk,2,14,U715,Miller squares,Phillipmouth,UK,FK97 1YE
12183e6f-049f-40a9-825f-0c23da58cea3,"Simpson, Hughes and Hodgson",+44 747 481 3025,ewright@yahoo.co.uk,814,40,W951,James greens,Mortonside,UK,SO2 4AW
73d61e0c-68bb-403e-b46d-f2c062e3a537,"Jackson, Price and Edwards",+44 940 764 2551,rileydorothy@williams.org,5,14,W207,Faulkner mount,Daleton,UK,B2 5HS
36645123-8a3c-4562-bf32-7c17ef274527,Harris Group,+44 499 471 3270,bentleystacey@fletcher-gill.co.uk,926,44,T571,Amelia canyon,South Malcolmfurt,UK,G8 8UJ
f75fc756-d6a1-456c-b624-c4754d095c76,Young-Wilkinson,+44 233 161 3867,gemmajames@thornton.co.uk,1,42,F230,Kim canyon,Banksberg,UK,E8C 5YS
27249fa7-4eb5-4785-a311-c7645f7b9032,Smith LLC,+44 169 240 0705,victor36@young.info,040,47,J016,Smith terrace,Cookfurt,UK,KW9 8AA
28ba5805-4483-477f-869c-1b3535fcfbb6,"Lee, Walton and Graham",+44 286 064 0220,rachelbarber@hotmail.co.uk,714,48,X981,Howard extension,West Marcusberg,UK,EX7X 2XG
fcc7e094-2b66-4237-a9a4-9bed5b23a25e,Lynch and Sons,+44 208 192 5210,bethparker@yahoo.co.uk,867,1,Y716,Taylor union,North Shirley,UK,L3 5HY
f847a96a-ecd9-45a5-a366-2c88ab4648a5,Coleman LLC,+44 118 571 7659,icarter@williams-reid.com,10,8,H954,King haven,Jacksonburgh,UK,LU56 8DH
b0aa665d-f80e-4bd8-8b5d-544ed0d2e59a,Clarke LLC,+44 628 011 8314,zoe55@yahoo.co.uk,6,27,E805,Marian mall,Aliceton,UK,E2A 6QR
7deee2bd-cc0d-4948-89bb-17ecf5ed36b7,Hunt-Burgess,+44 375 930 6376,jsmith@slater.com,557,13,X416,Yvonne harbors,Brooksshire,UK,WV0R 4DY
9e3f5baf-5104-4b3e-bd65-ed9bce5c2e61,Murphy Ltd,+44 804 064 7008,jillroberts@martin.co.uk,1,14,F250,Russell junctions,West Elizabeth,UK,HR2R 5TB
e10d258d-9f19-4915-bbad-d11d38ae3c0a,Nixon-Martin,+44 763 482 2531,sophie90@gould.biz,860,20,Y114,Chloe mountains,East Aliceview,UK,L0 1DR
c1bfafea-51fb-4be6-b52e-ab062692bb74,Bevan Inc,+44 748 560 3817,colinbrown@gmail.com,11,18,E750,Oliver estates,West Jacobberg,UK,FK1 8XL
e736664f-26d7-437d-8c5a-cd0b1eb8e13f,Woodward-Miah,+44 812 002 3100,gordonbrown@barnes.com,50,44,S386,Wendy wall,New Chloe,UK,TS1 2GA
6fb10b26-4626-4a0b-8fdb-59494ad63e17,Dawson PLC,+44 032 979 1812,morrisjill@rose.co.uk,64,14,O145,Bradley ridges,Shaneshire,UK,L9A 4NA
fd6ebe25-03b0-4eb7-8bc4-5f416a772553,"Sims, Page and Saunders",+44 740 804 4134,charleneharris@yahoo.co.uk,13,24,N231,Clark spring,Lake Janetton,UK,ML1E 6YL
31dc651e-6081-4665-ab9a-3b254f9d78fc,Johnston LLC,+44 234 932 9229,knowlesleslie@kelly.co.uk,777,3,D304,Henry view,West Suzanneland,UK,W20 2TT
00a8dbb8-4deb-4244-9659-aed23c1dc1bc,Frost Group,+44 898 887 5223,srandall@cooper.com,28,44,K494,White parks,Daviestown,UK,S6H 3JJ
682af778-d6b9-432f-b56c-27762543b69b,"Farrell, Lee and Bradley",+44 655 258 6348,rogerstoby@yahoo.co.uk,6,8,R738,Yvonne ridge,Gemmashire,UK,CT9B 4JJ
11e57ea3-4544-43c4-a70f-a9e113bce73d,Carter LLC,+44 243 796 7950,wtaylor@kelly.com,1,31,K173,Daniels ford,New Christopherton,UK,L5H 6LD
f75416df-884b-4aea-b41b-aef14a00ae0b,"Adams, Hall and Lambert",+44 789 331 2790,wbarnett@khan.com,91,44,T345,Jamie land,Lake Maurice,UK,L5A 4RP
2695c3df-dc17-48eb-9361-1c6e7a4a1e62,Wong-Hawkins,+44 963 188 8127,irenewalters@gmail.com,897,38,H996,Evans manor,Port Natashafort,UK,E89 6WR
d515d4c2-a4f5-4198-be53-7577772c4ccc,Williams-Smith,+44 108 676 3070,holmescarol@sharp-reynolds.com,58,21,T610,Rosie extensions,Bradleyfurt,UK,B73 7EE
5adb4d19-4a47-4af7-a6e3-470cf1793e7e,Morgan Group,+44 157 264 4123,francissullivan@harris.co.uk,567,47,S502,Maureen park,North Leeside,UK,B4 5JZ
